Time (ms)	X (cm)	Y (cm)
0.	99.80	118.02
16.683	99.79	118.29
33.367	99.79	118.29
50.05	99.78	118.28
66.733	99.77	118.28
83.417	99.77	118.01
100.1	99.77	118.00
116.783	99.76	117.73
133.467	99.76	117.46
150.15	99.75	117.46
166.833	99.98	116.69
183.517	99.97	116.69
200.2	99.70	116.69
216.883	99.39	117.00
233.567	99.12	117.00
250.25	99.12	116.73
266.933	99.12	116.73
283.617	99.27	116.49
300.3	99.39	115.79
316.983	100.00	115.48
333.667	99.69	114.79
350.35	99.99	114.21
367.033	99.99	113.93
383.717	99.99	113.66
400.4	100.00	113.38
417.083	100.00	113.11
433.767	100.00	112.85
