Time (ms)	X (cm)	Y (cm)
0.	130.50	111.85
16.683	130.50	111.85
33.367	130.23	111.58
50.05	130.23	111.58
66.733	130.23	111.31
83.417	129.96	111.04
100.1	129.68	110.77
116.783	129.41	110.76
133.467	129.41	110.49
150.15	129.14	110.49
166.833	128.87	110.22
183.517	128.60	110.22
200.2	128.60	109.95
216.883	128.33	109.95
233.567	128.33	109.95
250.25	128.05	109.68
266.933	127.78	109.68
283.617	127.78	109.41
300.3	127.78	109.41
316.983	127.51	109.41
333.667	127.51	109.41
350.35	127.51	109.41
367.033	127.51	109.41
383.717	127.51	109.41
400.4	127.51	109.41
417.083	127.24	109.68
433.767	127.24	109.68

