Time (ms)	X (cm)	Y (cm)
0.	87.77	184.96
16.683	88.72	187.42
33.367	91.05	188.93
50.05	94.05	190.02
66.733	95.15	190.84
83.417	96.10	191.11
100.1	98.83	190.57
116.783	100.06	190.29
133.467	101.84	189.88
150.15	104.82	188.25
166.833	105.10	186.88
183.517	105.51	184.84
200.2	106.06	182.52
216.883	106.88	179.79
233.567	107.15	178.70
250.25	107.40	176.54
266.933	108.19	170.96
283.617	107.61	166.53
300.3	105.87	161.44
316.983	104.63	157.04
333.667	104.28	153.29
350.35	103.74	152.20
367.033	104.82	147.06
383.717	105.69	143.98
400.4	106.69	138.65
417.083	107.30	136.45
433.767	107.03	134.55
