Time (ms)	X (cm)	Y (cm)
0.	117.48	158.42
16.683	118.02	158.42
33.367	118.56	158.15
50.05	118.56	158.15
66.733	118.83	157.88
83.417	119.10	157.61
100.1	119.10	157.34
116.783	119.10	157.06
133.467	119.10	156.79
150.15	119.10	156.52
166.833	119.11	156.25
183.517	119.37	155.98
200.2	119.37	155.72
216.883	119.37	155.71
233.567	119.64	155.44
250.25	119.64	155.44
266.933	120.87	155.75
283.617	120.87	155.75
300.3	120.33	155.74
316.983	120.55	154.94
333.667	120.15	155.09
350.35	119.88	154.33
367.033	119.88	154.32
383.717	120.37	154.02
400.4	119.84	154.02
417.083	119.84	154.02
433.767	119.83	154.02
