Time (ms)	X (cm)	Y (cm)
0.	106.37	164.77
16.683	106.64	165.31
33.367	107.18	165.58
50.05	107.20	165.59
66.733	107.47	166.44
83.417	107.85	166.80
100.1	107.59	167.06
116.783	107.60	167.05
133.467	107.33	167.05
150.15	108.19	166.56
166.833	108.19	166.57
183.517	108.82	166.32
200.2	108.83	166.33
216.883	109.10	166.06
233.567	109.44	165.68
250.25	109.66	165.35
266.933	109.04	164.60
283.617	109.24	164.10
300.3	108.51	164.34
316.983	107.84	164.77
333.667	106.20	163.98
350.35	105.05	162.44
367.033	104.51	162.17
383.717	103.96	161.62
400.4	103.42	160.80
417.083	103.15	160.26
433.767	102.88	159.72
