Time (ms)	X (cm)	Y (cm)
0.	133.71	160.00
16.683	133.72	159.72
33.367	133.99	159.45
50.05	133.99	159.18
66.733	133.99	158.64
83.417	134.27	158.09
100.1	134.00	157.13
116.783	134.00	157.12
133.467	133.59	156.45
150.15	133.59	156.44
166.833	133.58	156.43
183.517	133.17	155.60
200.2	133.17	155.60
216.883	133.17	155.59
233.567	133.17	155.58
250.25	133.17	154.89
266.933	133.16	154.88
283.617	133.16	154.88
300.3	132.89	154.88
316.983	132.48	154.88
333.667	132.47	154.88
350.35	132.47	154.88
367.033	131.92	154.88
383.717	132.05	155.16
400.4	132.05	155.16
417.083	131.50	155.44
433.767	131.50	155.44
