Time (ms)	X (cm)	Y (cm)
0.	105.17	172.73
16.683	105.10	174.12
33.367	105.40	175.88
50.05	106.10	179.41
66.733	107.35	187.42
83.417	105.07	194.09
100.1	104.27	198.81
116.783	106.54	206.43
133.467	108.27	210.32
150.15	109.63	211.07
166.833	110.01	210.39
183.517	110.76	209.62
200.2	112.44	205.44
216.883	112.44	199.89
233.567	112.66	195.78
250.25	113.52	186.91
266.933	112.87	178.25
283.617	112.44	168.52
300.3	111.57	159.60
316.983	111.78	151.53
333.667	111.34	141.90
350.35	111.13	133.97
367.033	111.13	127.72
383.717	110.86	122.02
400.4	110.59	117.40
417.083	110.32	113.60
433.767	110.04	110.34
