Time (ms)	X (cm)	Y (cm)
0.	113.66	225.14
33.367	113.66	225.15
66.733	113.66	225.36
100.1	113.66	225.36
133.467	113.66	225.58
166.833	113.66	225.58
200.2	113.66	225.80
233.567	113.66	226.01
266.933	113.88	226.01
300.3	113.87	226.01
333.667	113.87	226.12
367.033	113.87	226.23
400.4	113.87	226.13
433.767	113.87	226.24
467.133	113.87	226.13
500.5	114.09	226.24
533.867	114.09	226.13
567.233	114.09	226.13
600.6	111.64	209.43
633.967	112.86	199.64
667.333	125.07	174.50
700.7	141.68	151.71
734.067	161.95	124.40
767.433	180.21	99.86
800.8	194.89	73.56
834.167	211.40	42.36
867.533	227.00	10.25
900.9	227.00	10.25
