Time (ms)	X (cm)	Y (cm)
0.	67.94	96.30
33.367	67.95	96.08
66.733	68.16	95.87
100.1	68.81	95.86
133.467	69.45	95.86
166.833	70.31	95.85
200.2	70.96	95.86
233.567	71.61	96.28
266.933	72.47	96.71
300.3	73.11	97.14
333.667	73.76	98.01
367.033	74.18	99.31
400.4	74.61	101.03
433.767	75.05	103.19
467.133	75.48	104.92
500.5	75.83	107.15
533.867	75.83	106.93
567.233	75.83	106.07
600.6	75.83	105.65
633.967	75.18	105.64
667.333	74.10	105.21
700.7	73.02	105.21
734.067	71.94	104.77
767.433	71.08	103.90
800.8	70.22	102.61
834.167	69.35	101.74
867.533	68.49	100.88
900.9	67.85	100.45
