Time (ms)	X (cm)	Y (cm)
0.	81.68	145.73
33.367	77.57	144.01
66.733	72.18	143.57
100.1	66.78	143.58
133.467	62.03	144.44
166.833	57.49	145.30
200.2	53.82	147.03
233.567	51.66	147.89
266.933	49.93	150.05
300.3	49.93	151.57
333.667	49.72	157.18
367.033	54.37	164.02
400.4	57.82	169.21
433.767	62.40	174.13
467.133	67.36	177.59
500.5	74.70	180.18
533.867	81.83	181.04
567.233	87.32	178.33
600.6	89.84	176.21
633.967	91.25	174.57
667.333	94.34	170.32
700.7	98.25	164.09
734.067	102.30	155.60
767.433	104.22	145.57
800.8	104.11	137.40
834.167	101.38	130.39
867.533	99.01	124.52
900.9	96.64	120.20
