Time (ms)	X (cm)	Y (cm)
0.	65.95	146.19
33.367	65.52	146.19
66.733	63.62	145.20
100.1	63.19	145.42
133.467	62.01	144.31
166.833	61.08	144.06
200.2	60.34	143.55
233.567	59.69	143.98
266.933	59.47	144.42
300.3	59.69	144.63
333.667	60.77	145.41
367.033	61.63	146.71
400.4	63.36	148.43
433.767	64.44	148.65
467.133	66.93	149.68
500.5	69.09	150.93
533.867	72.44	151.83
567.233	73.35	153.04
600.6	73.95	153.90
633.967	75.07	153.21
667.333	74.29	153.90
700.7	75.32	153.00
734.067	76.05	152.05
767.433	76.05	151.19
800.8	76.44	150.98
834.167	77.73	149.90
867.533	78.16	148.18
900.9	78.59	148.18
