Time (ms)	X (cm)	Y (cm)
0.	68.59	117.13
33.367	68.38	116.70
66.733	68.59	116.92
100.1	66.68	116.98
133.467	66.68	117.19
166.833	66.90	117.19
200.2	67.12	117.41
233.567	67.33	117.41
266.933	67.76	118.27
300.3	68.19	119.13
333.667	69.64	120.25
367.033	70.07	121.50
400.4	71.46	123.49
433.767	72.99	125.55
467.133	75.25	128.49
500.5	76.33	129.71
533.867	76.77	130.14
567.233	77.20	130.14
600.6	76.98	129.50
633.967	75.69	129.07
667.333	74.17	129.07
700.7	72.88	129.07
734.067	72.23	128.20
767.433	71.58	127.34
800.8	71.37	126.04
834.167	70.93	125.18
867.533	70.50	124.53
900.9	70.28	123.67
