Time (ms)	X (cm)	Y (cm)
0.	85.92	166.77
33.367	81.17	166.33
66.733	77.51	167.10
100.1	72.53	167.62
133.467	68.21	167.84
166.833	63.64	167.97
200.2	59.98	168.19
233.567	57.17	169.27
266.933	55.01	169.70
300.3	53.28	169.92
333.667	53.07	169.91
367.033	49.99	169.78
400.4	49.79	166.06
433.767	50.71	165.28
467.133	51.57	166.36
500.5	53.43	171.32
533.867	60.60	181.01
567.233	63.21	186.21
600.6	75.09	193.12
633.967	97.14	191.47
667.333	114.47	182.30
700.7	121.03	176.22
734.067	125.89	162.86
767.433	128.08	144.32
800.8	125.14	130.23
834.167	122.04	117.84
867.533	114.78	105.74
900.9	109.05	99.00
