Time (ms)	X (cm)	Y (cm)
0.	100.22	131.27
16.683	100.49	131.53
33.367	101.02	131.79
50.05	101.29	132.05
66.733	101.82	132.31
83.417	102.35	132.31
100.1	102.61	132.59
116.783	102.89	132.85
133.467	103.16	132.86
150.15	103.43	133.12
166.833	103.70	133.11
183.517	103.97	133.11
200.2	104.50	133.11
216.883	104.77	133.11
233.567	105.04	133.11
250.25	105.57	132.85
266.933	105.83	132.84
283.617	106.09	132.59
300.3	106.35	132.33
316.983	106.36	132.32
333.667	106.61	132.06
350.35	106.36	132.07
367.033	106.35	132.34
383.717	106.08	132.60
400.4	105.54	132.86
417.083	105.01	133.12
433.767	104.22	133.12
450.45	103.42	133.12
467.133	102.36	133.12
483.817	101.04	132.87
500.5	99.71	132.86
517.183	98.38	132.34
533.867	96.78	132.07
550.55	95.19	131.53
567.233	94.66	131.27
583.917	91.74	129.31
600.6	90.54	128.74
617.283	88.95	127.98
633.967	88.76	127.04
650.65	88.12	126.96
667.333	87.28	125.00
684.017	86.83	123.68
700.7	87.10	122.54
717.383	87.55	121.97
734.067	87.93	121.78
750.75	88.31	121.22
767.433	88.31	121.22
784.117	88.12	120.46
800.8	87.48	119.70
817.483	87.47	119.70
