Time (ms)	X (cm)	Y (cm)
0.	121.17	129.19
16.683	120.53	129.77
33.367	120.81	130.03
50.05	121.34	130.04
66.733	121.87	130.04
83.417	122.15	130.80
100.1	122.34	130.80
116.783	122.35	130.62
133.467	122.54	130.70
150.15	122.05	131.34
166.833	122.70	131.35
183.517	122.77	131.91
200.2	122.66	131.54
216.883	122.93	131.80
233.567	122.93	132.07
250.25	123.19	132.07
266.933	123.20	131.80
283.617	123.46	131.81
300.3	123.46	131.81
316.983	124.22	130.87
333.667	124.48	130.87
350.35	124.48	130.87
367.033	124.74	130.88
383.717	124.74	131.14
400.4	124.74	131.13
417.083	124.82	131.70
433.767	124.14	132.16
450.45	124.40	132.42
467.133	124.41	133.41
483.817	124.41	134.21
500.5	124.22	134.44
517.183	124.48	134.97
533.867	123.51	135.62
550.55	122.98	135.99
567.233	121.74	136.45
583.917	120.42	136.26
600.6	119.02	135.88
617.283	118.75	135.08
633.967	118.22	134.02
650.65	117.16	132.42
667.333	115.83	130.56
684.017	115.56	129.23
700.7	115.30	128.17
717.383	115.30	127.37
734.067	115.30	126.58
750.75	115.56	125.52
767.433	116.02	124.15
784.117	116.23	123.47
800.8	116.52	122.70
817.483	115.99	117.78
