Time (ms)	X (cm)	Y (cm)
0.	122.18	185.04
16.683	120.83	185.81
33.367	118.97	186.08
50.05	117.64	186.34
66.733	116.57	186.61
83.417	115.24	186.61
100.1	114.18	186.56
116.783	112.69	186.26
133.467	111.95	185.93
150.15	111.05	185.60
166.833	109.96	185.15
183.517	109.47	184.68
200.2	108.27	184.44
216.883	107.64	183.72
233.567	107.99	183.48
250.25	107.59	182.77
266.933	107.10	182.41
283.617	106.75	181.57
300.3	106.75	181.31
316.983	107.00	181.04
333.667	107.00	180.78
350.35	108.08	179.82
367.033	108.94	176.98
383.717	109.95	175.76
400.4	111.34	174.57
417.083	112.41	174.57
433.767	114.72	174.57
450.45	118.34	176.12
467.133	121.57	179.00
483.817	123.49	181.57
500.5	126.49	185.39
517.183	127.82	188.58
533.867	129.15	191.78
550.55	129.95	195.50
567.233	131.54	198.16
583.917	132.34	200.55
600.6	133.59	200.93
617.283	134.42	198.63
633.967	133.68	195.85
650.65	133.14	194.17
667.333	130.50	189.18
684.017	128.75	184.01
700.7	129.04	181.92
717.383	128.24	166.72
734.067	127.03	163.73
750.75	126.73	157.58
767.433	125.67	150.69
784.117	125.14	145.10
800.8	124.73	140.73
817.483	124.19	137.01

