Time (ms)	X (cm)	Y (cm)
0.	106.00	167.96
16.683	106.00	167.96
33.367	105.73	168.22
50.05	105.73	168.22
66.733	105.73	168.22
83.417	105.73	168.22
100.1	105.73	168.22
116.783	105.47	168.67
133.467	105.46	168.67
150.15	105.20	168.67
166.833	105.20	168.41
183.517	105.20	168.41
200.2	105.20	168.40
216.883	105.19	168.40
233.567	105.20	168.13
250.25	105.46	167.87
266.933	105.46	167.60
283.617	105.73	167.07
300.3	105.73	166.81
316.983	105.46	166.81
333.667	105.73	166.54
350.35	106.41	167.32
367.033	106.41	167.32
383.717	106.67	167.33
400.4	105.84	168.37
417.083	105.54	168.97
433.767	105.09	168.38
450.45	104.85	169.13
467.133	104.77	169.74
483.817	104.24	170.00
500.5	103.71	170.26
517.183	103.18	170.52
533.867	102.24	171.07
550.55	101.23	171.12
567.233	100.21	171.50
583.917	99.68	171.51
600.6	99.68	171.77
617.283	99.68	171.77
633.967	99.83	171.34
650.65	100.33	170.19
667.333	100.87	169.72
684.017	101.16	168.66
700.7	101.33	166.77
717.383	101.06	165.71
734.067	100.72	165.07
750.75	100.19	164.27
767.433	99.65	163.48
784.117	99.13	162.94
800.8	98.41	161.99
817.483	98.13	161.46
