
Time (ms)	X (cm)	Y (cm)
0.	91.01	174.32
16.683	91.24	175.35
33.367	91.81	176.22
50.05	92.21	176.82
66.733	92.21	176.82
83.417	92.71	178.00
100.1	93.63	178.60
116.783	92.95	178.87
133.467	93.20	179.47
150.15	93.44	179.54
166.833	93.18	179.27
183.517	93.51	179.75
200.2	92.57	179.82
216.883	92.30	179.05
233.567	91.77	178.78
250.25	91.24	178.25
266.933	90.81	177.62
283.617	90.54	176.82
300.3	90.28	176.02
316.983	90.01	174.96
333.667	89.48	174.16
350.35	89.21	173.36
367.033	88.67	172.29
383.717	88.14	171.23
400.4	87.34	170.43
417.083	86.55	169.37
433.767	85.75	168.57
450.45	84.69	167.51
467.133	83.89	166.18
483.817	83.09	165.11
500.5	82.30	164.31
517.183	81.75	163.42
533.867	81.21	162.89
550.55	80.42	162.36
567.233	81.00	162.19
583.917	81.00	162.19
600.6	81.26	162.19
617.283	81.60	163.13
633.967	82.87	164.33
650.65	83.47	165.44
667.333	83.73	165.71
684.017	84.07	165.11
700.7	83.97	164.17
717.383	83.71	163.06
734.067	82.60	162.53
750.75	82.34	162.26
767.433	82.34	162.09
784.117	82.33	161.76
800.8	81.74	161.42
817.483	81.74	161.15
