Time (ms)	X (cm)	Y (cm)
0.	110.84	170.26
16.683	109.53	170.94
33.367	109.00	171.21
50.05	109.00	171.21
66.733	109.00	171.21
83.417	108.40	171.36
100.1	108.39	171.63
116.783	108.12	171.64
133.467	108.12	171.64
150.15	107.86	171.64
166.833	107.86	171.38
183.517	107.86	171.64
200.2	107.86	171.37
216.883	107.86	171.37
233.567	107.26	170.96
250.25	107.00	170.70
266.933	107.00	170.43
283.617	107.00	170.17
300.3	107.00	169.90
316.983	107.26	169.64
333.667	107.27	169.38
350.35	107.80	169.11
367.033	108.60	168.85
383.717	110.98	167.77
400.4	111.99	166.71
417.083	112.71	165.73
433.767	114.48	164.80
450.45	115.05	165.33
467.133	115.58	165.87
483.817	116.71	167.22
500.5	116.45	168.55
517.183	117.24	169.08
533.867	116.71	170.41
550.55	116.93	171.63
567.233	116.66	172.69
583.917	116.67	172.69
600.6	116.14	173.49
617.283	116.18	175.45
633.967	116.18	175.45
650.65	117.20	176.12
667.333	116.45	176.30
684.017	115.91	176.03
700.7	115.12	175.50
717.383	118.70	175.08
734.067	119.17	173.35
750.75	120.21	171.12
767.433	120.70	169.73
784.117	120.39	168.14
800.8	120.39	168.41
817.483	120.40	168.67
