Time (ms)	X (cm)	Y (cm)
0.	144.25	203.25
16.683	142.12	204.58
33.367	140.06	206.12
50.05	137.93	206.66
66.733	136.07	206.92
83.417	134.21	207.19
100.1	132.35	206.92
116.783	130.75	207.19
133.467	129.16	207.19
150.15	127.56	206.92
166.833	125.96	206.66
183.517	124.63	206.39
200.2	123.57	206.13
216.883	122.51	205.86
233.567	121.44	205.33
250.25	120.38	204.53
266.933	119.58	204.00
283.617	119.05	203.73
300.3	118.25	202.93
316.983	117.72	202.40
333.667	117.19	202.14
350.35	116.66	202.14
367.033	115.86	202.14
383.717	114.53	202.40
400.4	114.24	201.77
417.083	112.65	201.50
433.767	109.93	200.50
450.45	107.65	200.34
467.133	105.85	198.74
483.817	105.25	197.59
500.5	105.92	197.19
517.183	107.70	197.45
533.867	109.35	197.62
550.55	114.44	199.59
567.233	119.03	202.71
583.917	124.23	208.33
600.6	127.25	212.53
617.283	128.30	219.47
633.967	128.91	225.97
650.65	130.17	226.34
667.333	131.01	224.32
684.017	131.35	207.51
700.7	130.84	186.12
717.383	130.00	166.78
734.067	124.62	160.76
750.75	121.59	148.74
767.433	119.89	139.37
784.117	117.18	128.81
800.8	116.02	120.60
817.483	115.49	117.27

