Time (ms)	X (cm)	Y (cm)
0.	154.93	107.22
16.683	154.93	107.23
33.367	154.92	107.23
50.05	154.92	107.23
66.733	154.92	107.23
83.417	154.92	107.23
100.1	154.92	107.23
116.783	154.93	107.24
133.467	155.18	107.24
150.15	155.18	107.24
166.833	155.44	107.24
183.517	155.43	107.24
200.2	155.43	107.24
216.883	155.44	107.24
233.567	155.44	107.24
250.25	155.44	107.25
266.933	155.44	107.25
283.617	155.69	107.25
300.3	155.69	107.25
316.983	155.69	107.25
333.667	155.95	107.50
350.35	155.95	107.76
367.033	156.46	107.76
383.717	155.95	108.53
400.4	155.95	108.78
417.083	157.49	108.01
433.767	157.75	108.01
450.45	155.39	110.84
467.133	155.13	111.10
483.817	154.88	110.84
500.5	154.88	111.57
517.183	154.62	111.82
533.867	154.62	112.58
550.55	154.61	112.58
567.233	155.47	113.76
583.917	155.47	114.27
600.6	155.47	114.28
617.283	155.42	115.65
633.967	156.14	116.23
650.65	155.89	116.47
667.333	156.00	117.42
684.017	156.01	117.43
700.7	157.27	116.50
717.383	157.52	116.25
734.067	157.60	115.16
750.75	157.60	114.91
767.433	157.60	114.26
784.117	157.75	113.51
800.8	157.75	113.26
817.483	158.48	113.95
834.167	158.47	114.21
850.85	158.22	114.46
867.533	157.76	114.97
884.217	157.75	114.96
900.9	157.67	113.98
917.583	157.56	113.84
934.267	157.57	113.32
950.95	157.75	112.15
967.633	157.75	111.08
984.317	157.89	109.95
1001.	157.93	109.26
1017.683	157.92	108.76
1034.367	157.93	108.50
1051.05	157.93	108.25
1067.733	158.67	107.86
1084.417	158.95	107.97
1101.1	158.72	107.60
1117.783	158.78	107.46
1134.467	158.52	107.46
1151.15	158.52	107.75
1167.833	159.12	107.05
1184.517	159.19	105.96
1201.2	157.85	106.83
1217.883	158.10	107.18
1234.567	158.60	107.19
1251.25	158.09	107.19
1267.933	158.99	107.16
1284.617	158.73	107.16
1301.3	157.96	107.16
1317.983	159.04	107.35
1334.667	159.18	107.35
1351.35	158.41	107.35
1368.033	159.42	106.88
1384.717	158.91	106.88
1401.4	159.45	107.24
1418.083	159.19	107.24
1434.767	159.19	107.24
1451.45	159.19	107.24
1468.133	159.18	107.24
1484.817	159.18	107.23
1501.5	159.18	106.98
1518.183	159.18	106.98
1534.867	159.01	107.08
1551.55	159.27	106.35
1568.233	159.84	106.57
1584.917	159.85	106.57
1601.6	159.81	106.86
1618.283	160.14	106.85
1634.967	160.39	106.85
1651.65	160.65	106.85
1668.333	160.83	106.77
1685.017	160.94	106.62
1701.7	161.19	106.62
1718.383	161.44	106.61
1735.067	161.44	106.61
1751.75	161.70	106.60
1768.433	161.96	106.35
1785.117	161.96	106.35
1801.8	162.22	106.36
1818.483	162.47	106.37
1835.167	162.72	106.37
1851.85	162.72	106.36

