Time (ms)	X (cm)	Y (cm)
0.	181.38	106.58
16.683	181.13	106.58
33.367	181.13	106.84
50.05	181.13	106.84
66.733	181.13	106.84
83.417	181.39	106.58
100.1	181.39	106.58
116.783	181.39	106.58
133.467	181.64	106.32
150.15	181.64	106.33
166.833	181.64	106.33
183.517	181.90	106.33
200.2	181.90	106.33
216.883	182.15	106.33
233.567	182.16	106.07
250.25	182.41	106.07
266.933	182.67	106.07
283.617	182.92	106.07
300.3	183.18	106.33
316.983	183.43	106.33
333.667	183.43	106.33
350.35	183.69	106.58
367.033	183.95	106.58
383.717	183.95	106.58
400.4	184.20	106.58
417.083	184.20	106.84
433.767	184.20	106.84
450.45	184.46	107.35
467.133	184.20	107.61
483.817	184.20	107.61
500.5	184.20	107.86
517.183	184.20	108.12
533.867	183.94	108.37
550.55	183.94	108.37
567.233	183.69	108.37
583.917	183.69	108.37
600.6	183.69	108.12
617.283	183.69	108.12
633.967	183.68	107.61
650.65	183.68	107.09
667.333	183.68	106.58
684.017	183.68	106.07
700.7	183.68	105.30
717.383	183.68	105.04
734.067	183.42	104.53
750.75	182.91	104.27
767.433	182.65	104.02
784.117	182.65	104.02
800.8	182.40	103.76
817.483	182.40	104.02
834.167	182.40	104.27
850.85	182.14	104.27
867.533	181.63	102.74
884.217	181.63	102.99
900.9	181.63	102.99
917.583	182.14	103.25
934.267	182.40	105.43
950.95	181.88	103.38
967.633	181.37	103.12
984.317	181.37	103.12
1001.	181.12	103.12
1017.683	181.12	103.12
1034.367	181.12	103.12
1051.05	181.12	103.12
1067.733	181.12	103.38
1084.417	181.38	103.38
1101.1	181.38	103.38
1117.783	181.38	103.63
1134.467	181.38	103.63
1151.15	182.40	105.81
1167.833	181.89	103.38
1184.517	181.89	103.38
1201.2	181.89	103.38
1217.883	182.14	103.38
1234.567	182.14	103.38
1251.25	182.14	103.38
1267.933	182.40	103.38
1284.617	182.40	103.38
1301.3	182.40	103.63
1317.983	182.65	103.63
1334.667	182.66	103.63
1351.35	182.91	103.63
1368.033	182.91	103.89
1384.717	182.91	103.89
1401.4	183.16	103.89
1418.083	183.17	104.15
1434.767	183.42	104.14
1451.45	183.42	104.15
1468.133	183.67	104.40
1484.817	183.67	104.40
1501.5	183.93	104.40
1518.183	184.19	104.40
1534.867	184.18	104.66
1551.55	184.19	104.66
1568.233	184.44	104.66
1584.917	184.44	104.91
1601.6	184.44	104.91
1618.283	184.70	104.66
1634.967	184.70	104.91
1651.65	184.95	104.91
1668.333	184.95	104.91
1685.017	184.95	105.17
1701.7	184.95	105.17
1718.383	185.21	105.17
1735.067	185.21	105.17
1751.75	185.46	105.17
1768.433	185.46	105.17
1785.117	185.47	105.17
1801.8	185.72	105.17
1818.483	185.73	105.17
1835.167	185.98	105.17
1851.85	186.24	105.17
