Time (ms)	X (cm)	Y (cm)
0.	137.36	131.49
16.683	136.08	130.73
33.367	135.06	130.24
50.05	134.29	129.99
66.733	133.52	129.76
83.417	132.76	129.77
100.1	131.99	130.02
116.783	131.49	130.02
133.467	131.22	130.28
150.15	132.13	130.87
166.833	132.39	131.75
183.517	132.90	132.26
200.2	133.41	133.02
216.883	134.18	133.78
233.567	135.21	134.30
250.25	136.23	135.07
266.933	137.26	135.84
283.617	138.28	136.80
300.3	139.81	137.57
316.983	140.64	138.54
333.667	141.54	139.11
350.35	142.57	140.14
367.033	144.11	141.16
383.717	145.40	142.19
400.4	146.93	143.21
417.083	148.21	144.50
433.767	149.24	145.52
450.45	150.52	146.81
467.133	151.54	148.09
483.817	152.69	149.96
500.5	153.20	151.75
517.183	153.20	153.55
533.867	153.20	156.11
550.55	153.09	158.89
567.233	153.67	161.90
583.917	155.04	165.10
600.6	157.10	168.58
617.283	159.15	171.98
633.967	161.27	175.00
650.65	163.96	177.08
667.333	164.95	178.88
684.017	166.92	181.25
700.7	167.67	182.53
717.383	169.48	183.30
734.067	170.93	183.22
750.75	172.29	181.75
767.433	173.45	180.27
784.117	174.65	178.99
800.8	174.87	175.43
817.483	174.54	168.72
834.167	174.21	164.01
850.85	173.95	158.78
867.533	171.32	153.96
884.217	167.99	149.03
900.9	165.71	145.39
917.583	164.71	139.46
934.267	164.25	133.88
950.95	163.94	129.33
967.633	164.12	126.25
984.317	163.19	123.74
1001.	162.91	121.78
1017.683	162.74	120.18
1034.367	162.11	119.66
1051.05	161.94	119.37
1067.733	161.09	119.09
1084.417	160.34	118.75
1101.1	159.82	118.74
1117.783	159.06	118.75
1134.467	158.54	119.00
1151.15	157.77	119.00
1167.833	157.18	118.27
1184.517	157.64	118.84
1201.2	156.61	119.53
1217.883	155.59	119.79
1234.567	154.82	119.79
1251.25	154.06	119.79
1267.933	153.54	119.78
1284.617	152.78	119.78
1301.3	152.28	119.77
1317.983	151.77	119.52
1334.667	151.25	119.52
1351.35	150.74	119.52
1368.033	150.23	119.52
1384.717	149.98	119.53
1401.4	149.73	119.78
1418.083	149.47	119.78
1434.767	149.22	119.78
1451.45	148.97	119.77
1468.133	148.97	119.77
1484.817	148.96	119.77
1501.5	148.95	119.77
1518.183	148.70	119.51
1534.867	148.70	119.51
1551.55	148.70	119.50
1568.233	148.70	119.25
1584.917	148.96	119.25
1601.6	148.95	118.99
1618.283	148.96	118.74
1634.967	149.21	118.74
1651.65	149.21	118.73
1668.333	149.46	118.73
1685.017	149.47	118.48
1701.7	149.73	118.48
1718.383	149.99	118.49
1735.067	150.24	118.49
1751.75	150.49	118.49
1768.433	150.50	118.49
1785.117	150.49	118.75
1801.8	150.50	118.75
1818.483	150.75	118.76
1835.167	150.75	118.76
1851.85	151.01	118.75

