Time (ms)	X (cm)	Y (cm)
0.	167.66	147.62
16.683	167.42	147.62
33.367	167.43	147.62
50.05	167.42	147.62
66.733	167.41	147.62
83.417	167.40	147.61
100.1	167.15	147.37
116.783	167.15	147.38
133.467	167.15	147.38
150.15	167.15	147.38
166.833	167.15	147.38
183.517	167.13	147.37
200.2	167.12	147.35
216.883	167.11	147.11
233.567	167.12	147.11
250.25	167.36	147.12
266.933	167.36	147.13
283.617	167.61	147.11
300.3	167.86	147.10
316.983	168.35	147.09
333.667	168.36	147.09
350.35	168.62	147.09
367.033	168.86	147.10
383.717	169.11	147.36
400.4	169.35	147.37
417.083	169.36	147.63
433.767	169.62	147.64
450.45	170.12	147.89
467.133	170.36	148.15
483.817	170.63	148.40
500.5	171.13	148.67
517.183	171.65	149.18
533.867	172.16	149.44
550.55	172.68	149.95
567.233	173.45	150.20
583.917	174.22	150.47
600.6	175.26	150.71
617.283	176.55	150.71
633.967	177.83	150.45
650.65	179.18	150.77
667.333	180.40	150.45
684.017	181.42	149.94
700.7	181.93	149.17
717.383	182.45	148.66
734.067	182.71	148.14
750.75	182.71	147.63
767.433	182.45	147.11
784.117	182.20	146.59
800.8	181.93	146.06
817.483	181.17	145.80
834.167	180.67	145.79
850.85	180.48	145.85
867.533	180.21	145.86
884.217	180.28	146.12
934.267	179.77	146.36
950.95	179.77	145.85
967.633	179.77	145.33
984.317	179.76	144.55
1001.	179.25	144.03
1017.683	178.74	143.52
1034.367	178.48	143.50
1051.05	178.23	143.50
1067.733	178.23	143.51
1084.417	177.98	143.77
1101.1	177.73	143.77
1117.783	177.47	143.79
1134.467	177.20	144.03
1151.15	176.93	144.03
1167.833	176.66	144.28
1184.517	176.39	144.29
1201.2	176.85	143.83
1217.883	176.85	143.83
1234.567	176.85	143.83
1251.25	176.85	143.83
1267.933	176.85	143.83
1284.617	176.85	143.83
1301.3	176.85	143.83
1317.983	176.85	143.83
1334.667	176.85	143.83
1351.35	176.85	143.83
1368.033	176.85	143.83
1384.717	175.93	144.86
1401.4	175.92	144.87
1418.083	175.68	145.12
1434.767	175.68	145.11
1451.45	175.68	145.11
1468.133	175.67	145.11
1484.817	175.10	145.58
1501.5	175.10	145.58
1518.183	175.10	145.83
1534.867	175.11	145.83
1551.55	175.12	145.83
1568.233	175.37	145.83
1584.917	175.37	145.84
1601.6	175.62	145.84
1618.283	175.61	145.85
1634.967	175.86	145.86
1651.65	175.87	145.87
1668.333	176.13	146.11
1685.017	176.38	146.11
1701.7	176.63	146.10
1718.383	176.88	146.09
1735.067	177.13	146.08
1751.75	177.14	146.08
1768.433	177.40	146.08
1785.117	177.66	146.09
1801.8	177.91	146.10
1818.483	178.16	146.34
1835.167	178.16	146.09
1851.85	178.42	146.34


