Time (ms)	X (cm)	Y (cm)
0.	150.98	150.14
16.683	150.98	149.89
33.367	150.98	149.64
50.05	150.99	149.13
66.733	151.24	149.13
83.417	151.49	148.88
100.1	151.51	148.87
116.783	151.77	148.85
133.467	152.27	148.87
150.15	152.79	148.85
166.833	153.31	149.10
183.517	153.82	149.09
200.2	154.59	149.10
216.883	155.35	149.11
233.567	156.11	149.13
250.25	156.88	148.48
266.933	157.66	148.48
283.617	158.56	148.48
300.3	159.46	148.48
316.983	160.24	148.50
333.667	161.14	148.75
350.35	162.05	148.76
367.033	162.95	149.02
383.717	163.86	149.27
400.4	164.64	149.50
417.083	165.42	149.52
433.767	166.32	149.72
450.45	166.85	149.75
467.133	167.94	149.91
483.817	168.51	150.81
500.5	169.03	151.06
517.183	169.55	151.31
533.867	170.05	151.59
550.55	170.55	152.08
567.233	171.05	152.36
583.917	171.56	152.86
600.6	171.50	153.50
617.283	172.01	154.02
633.967	172.27	155.29
650.65	172.53	156.13
667.333	172.66	157.15
684.017	172.72	158.31
700.7	172.84	159.35
717.383	173.09	159.36
734.067	173.34	159.36
750.75	173.86	159.04
767.433	173.86	158.53
784.117	173.99	157.50
800.8	173.97	156.85
817.483	173.52	156.28
834.167	173.15	155.44
850.85	173.15	155.44
867.533	173.01	154.79
884.217	172.50	155.30
900.9	171.66	155.30
917.583	171.66	154.02
934.267	171.42	152.73
950.95	170.91	152.11
967.633	170.65	151.08
984.317	170.15	150.06
1001.	169.87	149.30
1017.683	169.12	148.79
1034.367	168.86	148.52
1051.05	168.35	148.25
1067.733	167.85	148.00
1084.417	167.58	148.00
1101.1	166.83	147.99
1117.783	166.32	148.00
1134.467	165.82	148.24
1151.15	165.06	148.23
1167.833	164.55	148.24
1184.517	164.05	148.25
1201.2	164.05	148.25
1217.883	164.05	148.25
1234.567	163.13	148.25
1251.25	162.63	148.00
1267.933	162.12	147.99
1284.617	161.86	147.74
1301.3	161.34	147.74
1317.983	160.82	147.73
1334.667	160.31	147.47
1351.35	160.05	147.48
1368.033	159.79	147.47
1384.717	159.53	147.48
1401.4	159.28	147.72
1418.083	159.27	147.71
1434.767	159.02	147.70
1451.45	159.01	147.70
1468.133	158.76	147.70
1484.817	158.76	147.70
1501.5	158.76	147.70
1518.183	158.76	147.70
1534.867	158.75	147.71
1551.55	158.75	147.71
1568.233	158.75	147.71
1584.917	158.75	147.70
1601.6	159.01	147.69
1618.283	159.01	147.44
1634.967	159.01	147.45
1651.65	159.27	147.45
1668.333	159.53	147.44
1685.017	159.78	147.43
1701.7	160.04	147.17
1718.383	160.29	147.17
1735.067	160.54	147.16
1751.75	160.79	147.15
1768.433	161.04	146.90
1785.117	161.04	146.90
1801.8	161.30	146.91
1818.483	161.55	146.91
1835.167	161.55	146.90
1851.85	161.81	146.90


