Time (ms)	X (cm)	Y (cm)
0.	180.85	150.81
16.683	180.59	151.04
33.367	180.58	151.27
50.05	180.33	151.27
66.733	180.32	152.41
83.417	180.10	152.42
100.1	180.10	152.43
116.783	180.09	152.69
133.467	180.05	152.69
150.15	180.06	152.93
166.833	180.03	152.92
183.517	179.96	152.92
200.2	179.88	152.93
216.883	180.04	152.95
233.567	180.02	153.18
250.25	179.95	153.19
266.933	179.88	153.19
283.617	179.95	153.19
300.3	179.76	153.20
316.983	179.80	153.43
333.667	179.83	153.42
350.35	179.87	153.43
367.033	179.90	153.45
383.717	180.35	153.85
400.4	180.39	153.87
417.083	180.41	153.90
433.767	180.99	154.32
450.45	181.42	154.71
467.133	181.88	154.88
483.817	182.55	155.13
500.5	183.28	155.08
517.183	183.98	155.16
533.867	184.64	155.14
550.55	185.61	154.89
567.233	186.82	154.25
583.917	188.90	153.72
600.6	189.56	152.81
617.283	190.92	151.84
633.967	192.21	150.90
650.65	192.85	150.00
667.333	194.59	148.51
684.017	194.72	147.27
700.7	194.94	146.49
717.383	194.70	145.98
734.067	194.66	145.46
750.75	194.16	145.46
767.433	193.90	145.20
784.117	193.41	145.20
800.8	193.15	145.21
817.483	192.87	145.46
834.167	192.39	145.72
850.85	192.39	145.73
867.533	192.13	146.24
884.217	191.87	146.25
900.9	191.61	146.50
917.583	191.35	146.76
934.267	191.09	146.76
950.95	190.83	146.76
967.633	190.56	146.76
984.317	190.05	147.00
1001.	189.79	146.75
1017.683	189.53	146.76
1034.367	189.28	147.02
1051.05	189.03	147.02
1067.733	189.02	146.77
1084.417	188.77	147.02
1101.1	188.78	146.52
1117.783	188.53	146.78
1134.467	188.52	146.53
1151.15	188.50	146.53
1167.833	188.25	146.53
1184.517	188.24	146.54
1201.2	188.23	146.28
1217.883	188.21	146.28
1234.567	188.18	146.28
1251.25	187.94	146.29
1267.933	187.95	146.29
1284.617	187.97	146.29
1301.3	187.99	146.30
1317.983	188.23	146.05
1334.667	188.21	145.80
1351.35	188.20	146.05
1368.033	188.19	146.05
1384.717	188.19	146.05
1401.4	188.20	146.05
1418.083	188.21	146.06
1434.767	188.22	146.06
1451.45	188.24	146.06
1468.133	188.26	146.06
1484.817	188.49	146.06
1501.5	188.49	146.07
1518.183	188.50	146.08
1534.867	188.52	146.33
1551.55	188.75	146.33
1568.233	188.75	146.33
1584.917	188.76	146.34
1601.6	189.00	146.34
1618.283	188.99	146.34
1634.967	188.99	146.60
1651.65	189.00	146.60
1668.333	189.25	146.61
1685.017	189.26	146.62
1701.7	189.27	146.87
1718.383	189.51	146.87
1735.067	189.51	146.87
1751.75	189.53	146.87
1768.433	189.78	146.87
1785.117	189.79	146.88
1801.8	190.03	146.88
1818.483	190.04	146.88
1835.167	190.29	146.89
1851.85	190.30	146.90


