Time (ms)	X (cm)	Y (cm)
0.	137.51	153.68
16.683	135.97	152.65
33.367	134.43	151.88
50.05	132.90	150.86
66.733	131.87	150.86
83.417	130.59	150.35
100.1	129.82	150.86
116.783	129.05	150.86
133.467	126.74	149.97
150.15	126.74	150.47
166.833	126.98	150.99
183.517	127.49	151.75
200.2	128.25	152.51
216.883	129.03	153.28
233.567	130.32	154.30
250.25	131.85	155.07
266.933	133.65	156.10
283.617	135.69	156.87
300.3	137.23	157.64
316.983	139.27	158.41
333.667	141.07	159.18
350.35	144.82	160.78
367.033	146.90	161.37
383.717	149.39	161.01
400.4	154.57	160.38
417.083	156.80	161.17
433.767	158.16	161.60
450.45	160.97	162.91
467.133	162.17	163.66
483.817	164.31	163.14
500.5	166.75	163.94
517.183	171.06	164.55
533.867	173.33	165.64
550.55	174.45	165.60
567.233	180.46	166.32
583.917	183.79	163.19
600.6	183.59	158.10
617.283	185.09	154.64
633.967	176.51	157.01
650.65	172.25	161.06
667.333	170.97	161.65
684.017	170.03	165.75
700.7	169.76	171.22
717.383	170.04	182.43
734.067	170.42	191.42
750.75	167.58	198.79
767.433	168.70	204.87
784.117	171.52	204.10
800.8	173.09	199.70
817.483	173.98	193.90
834.167	175.00	180.33
850.85	171.40	154.64
867.533	170.38	145.14
884.217	171.16	137.70
900.9	168.08	128.85
917.583	167.57	117.56
934.267	166.55	109.85
950.95	166.05	105.10
967.633	165.54	101.25
984.317	165.04	98.68
1001.	164.79	96.89
1017.683	164.28	95.87
1034.367	164.04	95.36
1051.05	163.52	95.11
1067.733	163.00	94.86
1084.417	162.49	94.86
1101.1	161.99	94.86
1117.783	161.48	95.11
1134.467	160.97	95.11
1151.15	160.97	95.11
1167.833	160.72	95.38
1184.517	159.19	95.63
1201.2	158.41	95.64
1217.883	157.89	95.88
1234.567	157.36	95.88
1251.25	156.86	95.89
1267.933	156.09	96.14
1284.617	155.58	96.15
1301.3	154.82	96.40
1317.983	154.32	96.40
1334.667	153.80	96.65
1351.35	153.29	96.90
1368.033	152.79	97.14
1384.717	152.28	97.39
1401.4	153.30	96.37
1418.083	152.79	96.38
1434.767	152.29	96.38
1451.45	152.03	96.38
1468.133	151.76	96.38
1484.817	151.51	96.12
1501.5	151.26	95.87
1518.183	150.99	95.62
1534.867	150.73	95.36
1551.55	150.73	94.86
1568.233	150.47	94.59
1584.917	150.46	94.09
1601.6	150.20	93.84
1618.283	150.19	93.59
1634.967	150.19	93.58
1651.65	149.93	93.32
1668.333	149.94	93.06
1685.017	149.95	92.55
1701.7	149.70	92.31
1718.383	153.03	92.32
1735.067	153.02	92.07
1751.75	153.03	92.07
1768.433	153.28	91.81
1785.117	153.53	91.81
1801.8	153.54	91.56
1818.483	153.80	91.56
1835.167	154.06	91.31
1851.85	154.32	91.32
