Time (ms)	X (cm)	Y (cm)
0.	102.73	91.91
33.367	101.95	91.91
66.733	101.16	91.92
100.1	99.99	91.92
133.467	98.62	91.53
166.833	97.25	91.14
200.2	95.68	90.75
233.567	94.11	90.36
266.933	92.35	89.97
300.3	90.19	89.57
333.667	88.23	89.19
367.033	86.27	89.19
400.4	84.12	89.19
433.767	81.96	88.80
467.133	79.80	88.81
500.5	77.85	89.20
533.867	76.68	89.19
567.233	75.70	88.80
600.6	75.32	88.01
633.967	75.31	87.23
667.333	75.31	86.44
700.7	75.31	86.25
734.067	75.51	86.05
767.433	75.71	85.27
800.8	76.10	84.88
834.167	76.30	84.49
867.533	76.30	84.68
900.9	75.91	85.46
934.267	76.07	85.89
967.633	76.46	87.07
1001.	77.49	88.47
1034.367	79.78	90.93
1067.733	82.41	95.96
1101.1	83.55	100.91
1134.467	83.95	105.84
1167.833	83.93	106.50
1201.2	81.10	104.25
1234.567	78.97	100.75
1267.933	76.14	96.69
1301.3	72.96	94.75
1334.667	70.81	93.38
1368.033	69.63	92.40
1401.4	69.82	91.23
1434.767	70.41	90.25
1468.133	71.38	89.47
1501.5	71.39	89.28
1534.867	71.58	88.50
1568.233	71.77	88.49
1601.6	72.36	88.48
1634.967	73.14	88.48
1668.333	73.92	88.47
1701.7	74.71	88.08
1735.067	75.89	88.08
1768.433	77.26	88.67
1801.8	78.63	88.67
1835.167	80.20	89.06
1868.533	81.96	89.06
1901.9	83.53	89.45
1935.267	85.49	89.44
1968.633	87.25	89.44
2002.	88.82	89.83
2035.367	90.19	89.82

