Time (ms)	X (cm)	Y (cm)
0.	132.97	144.43
33.367	131.79	143.65
66.733	130.81	142.49
100.1	129.83	140.99
133.467	128.66	139.51
166.833	126.20	136.51
200.2	123.91	135.81
233.567	120.93	134.13
266.933	117.78	132.06
300.3	114.09	130.02
333.667	110.59	128.67
367.033	105.76	127.39
400.4	100.31	125.27
433.767	96.79	124.22
467.133	89.39	122.63
500.5	84.64	121.23
533.867	76.19	119.11
567.233	71.27	117.70
600.6	67.39	117.00
633.967	61.41	115.94
667.333	57.71	109.78
700.7	54.72	106.62
734.067	47.15	106.26
767.433	43.57	107.56
800.8	41.11	110.56
834.167	38.65	112.06
867.533	38.65	113.47
900.9	37.25	117.17
934.267	37.95	119.81
967.633	38.30	124.03
1001.	40.41	131.78
1034.367	42.35	139.87
1067.733	48.16	146.74
1101.1	55.55	154.83
1134.467	68.58	163.63
1167.833	83.11	165.38
1201.2	93.32	163.26
1234.567	100.71	159.39
1267.933	108.11	150.94
1301.3	109.51	140.03
1334.667	109.69	125.95
1368.033	109.16	118.73
1401.4	106.87	109.58
1434.767	102.83	103.60
1468.133	101.59	101.49
1501.5	99.48	99.37
1534.867	99.10	98.20
1568.233	99.10	98.01
1601.6	100.28	98.01
1634.967	101.65	98.40
1668.333	103.02	99.19
1701.7	103.61	100.36
1735.067	107.67	100.24
1768.433	109.43	101.22
1801.8	111.39	101.22
1835.167	112.77	101.61
1868.533	114.14	101.80
1901.9	115.31	101.41
1935.267	116.29	101.41
1968.633	117.08	101.01
2002.	118.06	100.62
2035.367	119.03	100.23

