Time (ms)	X (cm)	Y (cm)
0.	109.31	109.14
33.367	107.93	109.53
66.733	106.36	109.92
100.1	104.60	109.92
133.467	102.84	109.91
166.833	100.68	109.52
200.2	98.33	109.13
233.567	95.79	108.74
266.933	93.44	108.34
300.3	90.89	107.95
333.667	88.14	107.55
367.033	85.21	107.55
400.4	82.46	107.74
433.767	79.91	107.55
467.133	77.76	107.15
500.5	75.40	106.96
533.867	72.76	105.47
567.233	71.79	104.69
600.6	71.20	103.91
633.967	70.61	103.13
667.333	70.22	102.35
700.7	70.03	101.96
734.067	70.23	101.56
767.433	70.23	100.78
800.8	70.42	100.39
834.167	70.62	100.20
867.533	70.62	100.59
900.9	70.82	101.77
934.267	71.01	102.55
967.633	71.40	103.33
1001.	72.19	105.74
1034.367	73.58	109.48
1067.733	76.11	113.99
1101.1	78.65	121.25
1134.467	82.18	124.95
1167.833	85.31	123.36
1201.2	84.61	120.37
1234.567	81.37	118.06
1267.933	77.44	118.08
1301.3	73.97	116.36
1334.667	72.80	114.42
1368.033	73.93	112.90
1401.4	75.07	111.16
1434.767	75.26	109.98
1468.133	75.26	109.20
1501.5	75.26	108.80
1534.867	75.46	108.61
1568.233	76.05	108.41
1601.6	76.83	108.41
1634.967	77.61	108.42
1668.333	78.59	108.42
1701.7	79.57	108.23
1735.067	80.74	108.22
1768.433	82.31	108.42
1801.8	84.07	108.81
1835.167	85.64	108.81
1868.533	87.41	108.81
1901.9	88.98	108.82
1935.267	90.74	109.21
1968.633	92.31	109.21
2002.	93.68	109.21
2035.367	95.05	109.21

