Time (ms)	X (cm)	Y (cm)
0.	108.00	137.34
33.367	108.00	137.34
66.733	106.63	137.73
100.1	105.46	137.73
133.467	104.08	137.73
166.833	100.21	137.73
200.2	97.39	137.72
233.567	95.04	137.33
266.933	91.67	135.40
300.3	89.13	135.01
333.667	91.28	135.79
367.033	82.67	134.17
400.4	79.54	133.78
433.767	76.99	133.40
467.133	74.14	133.40
500.5	70.22	131.28
533.867	67.85	130.15
567.233	66.21	129.00
600.6	64.25	128.21
633.967	61.43	126.68
667.333	59.47	126.69
700.7	61.21	125.44
734.067	61.56	123.85
767.433	61.36	123.47
800.8	61.17	123.46
834.167	61.17	123.66
867.533	61.17	124.05
900.9	61.56	124.83
934.267	64.26	126.63
967.633	65.18	127.00
1001.	66.16	128.18
1034.367	66.94	129.53
1067.733	67.22	130.91
1101.1	71.29	133.66
1134.467	74.41	135.82
1167.833	78.58	137.38
1201.2	80.67	139.56
1234.567	81.91	139.76
1267.933	81.79	140.66
1301.3	83.03	138.06
1334.667	82.60	136.91
1368.033	85.53	134.60
1401.4	87.49	131.42
1434.767	90.23	130.48
1468.133	91.01	128.91
1501.5	91.79	127.93
1534.867	92.38	127.54
1568.233	93.16	127.15
1601.6	93.75	127.54
1634.967	94.34	127.92
1668.333	95.12	127.93
1701.7	95.90	128.32
1735.067	97.08	128.32
1768.433	98.45	128.71
1801.8	100.21	128.91
1835.167	101.78	129.30
1868.533	103.54	129.30
1901.9	105.11	129.31
1935.267	106.68	129.32
1968.633	108.05	129.71
2002.	109.62	129.72
2035.367	110.59	130.11

