Time (ms)	X (cm)	Y (cm)
0.	132.55	163.76
33.367	131.18	162.20
66.733	130.20	159.84
100.1	129.22	157.50
133.467	127.71	155.28
166.833	126.16	152.75
200.2	124.79	150.80
233.567	123.03	148.83
266.933	120.87	147.27
300.3	118.33	146.49
333.667	115.00	145.71
367.033	111.47	144.92
400.4	107.55	144.13
433.767	103.23	142.96
467.133	101.82	140.81
500.5	96.77	140.65
533.867	94.48	138.36
567.233	88.67	135.72
600.6	88.67	135.72
633.967	78.99	133.96
667.333	72.35	132.66
700.7	65.59	131.27
734.067	58.74	131.28
767.433	52.46	131.28
800.8	43.85	133.13
834.167	40.53	135.48
867.533	39.92	135.91
900.9	39.43	139.80
934.267	40.88	142.25
967.633	45.08	145.07
1001.	50.77	146.24
1034.367	55.23	146.09
1067.733	59.35	142.27
1101.1	57.41	137.51
1134.467	55.12	150.19
1167.833	60.40	168.84
1201.2	79.24	182.40
1234.567	108.10	180.28
1267.933	125.17	164.80
1301.3	132.47	142.94
1334.667	133.18	117.07
1368.033	124.90	100.52
1401.4	122.24	87.30
1434.767	114.76	80.17
1468.133	108.95	77.36
1501.5	105.45	74.37
1534.867	103.69	73.84
1568.233	102.11	71.92
1601.6	104.35	73.15
1634.967	108.49	74.64
1668.333	111.82	75.43
1701.7	115.93	76.80
1735.067	119.45	77.97
1768.433	122.58	79.15
1801.8	125.32	80.32
1835.167	128.72	82.51
1868.533	131.02	84.17
1901.9	132.19	84.56
1935.267	132.97	84.56
1968.633	133.17	84.17
2002.	133.36	83.39
2035.367	132.78	82.40

