Time (ms)	X (cm)	Y (cm)
0.	170.14	112.08
16.683	170.39	112.58
33.367	170.39	112.84
50.05	170.64	113.11
66.733	170.64	113.37
83.417	170.65	113.64
100.1	170.89	113.89
116.783	170.90	114.15
133.467	171.15	114.40
150.15	171.15	114.41
166.833	171.15	114.66
183.517	171.40	114.65
200.2	171.40	114.65
216.883	171.40	114.65
233.567	171.41	114.90
250.25	171.41	114.91
266.933	171.41	115.17
283.617	171.67	115.69
300.3	172.18	116.20
316.983	172.69	116.70
333.667	173.21	116.96
350.35	174.36	117.98
367.033	174.87	118.49
383.717	175.38	118.75
400.4	175.64	119.02
417.083	176.16	119.28
433.767	176.67	119.53
450.45	176.93	119.78
467.133	177.43	119.79
483.817	177.69	120.03
500.5	178.20	120.03
517.183	178.70	120.02
533.867	178.96	120.03
550.55	179.48	120.27
567.233	180.24	120.27
583.917	180.75	120.27
600.6	181.27	120.27
617.283	182.04	120.52
633.967	182.56	120.51
650.65	183.33	120.51
667.333	184.09	120.51
684.017	184.86	120.50
700.7	185.63	120.50
717.383	186.39	120.24
734.067	186.91	120.24
750.75	187.66	120.25
767.433	187.92	120.50
784.117	187.92	120.76
800.8	187.93	121.01
817.483	187.92	121.27
834.167	187.40	121.53
850.85	186.89	122.04
867.533	186.13	122.29
884.217	185.61	122.55
900.9	184.83	122.81
917.583	183.82	123.07
934.267	183.05	123.07
950.95	182.02	123.07
967.633	180.74	122.80
984.317	179.45	122.54
1001.	177.66	122.03
1017.683	175.62	121.51
1034.367	173.57	120.74
1051.05	171.52	119.97
1067.733	169.48	118.95
1084.417	168.19	117.93
1101.1	167.17	117.16
1117.783	163.70	115.61
1134.467	162.55	114.20
1151.15	162.03	113.55
1167.833	160.88	112.14
1184.517	160.50	109.95
1201.2	159.60	109.82
1217.883	158.96	108.53
1234.567	159.35	107.76
1251.25	159.48	107.89
1267.933	158.96	107.12
1284.617	158.71	106.87
1301.3	158.71	106.35
1317.983	157.43	105.97
1334.667	156.92	106.61
1351.35	156.91	106.62
1368.033	156.66	106.87
1384.717	156.40	106.87
1401.4	155.89	106.62
1418.083	155.63	106.87
1434.767	155.63	107.38
1451.45	155.38	107.64
1468.133	154.86	108.92
1484.817	154.61	109.94
1501.5	154.86	110.96
1518.183	155.12	111.48
1534.867	156.02	111.22
1551.55	156.02	111.22
1568.233	156.28	111.22
1584.917	156.02	111.22
1601.6	156.02	111.22
1618.283	157.95	112.38
1634.967	158.20	112.64
1651.65	158.20	112.64
1668.333	158.20	112.39
1685.017	158.20	112.39
1701.7	159.61	112.39
1718.383	159.61	112.64
1735.067	160.25	112.00
1751.75	160.26	112.00
1768.433	160.27	111.99
1785.117	160.51	111.99
1801.8	160.51	111.99
1818.483	160.51	111.99
1835.167	160.51	111.73
1851.85	160.51	111.74
1868.533	160.90	112.00
1885.217	160.91	112.00
1901.9	160.93	112.00
1918.583	161.18	112.00
1935.267	161.18	112.01
1951.95	161.17	112.01
1968.633	161.17	112.02
1985.317	161.17	112.03
2002.	161.17	112.04
2018.683	161.16	112.04
2035.367	160.91	112.04
2052.05	160.65	112.03
2068.733	159.62	111.91
2085.417	159.35	112.16
2102.1	159.10	111.90
2118.783	158.84	111.65
2135.467	158.58	111.64
2152.15	158.33	111.39
2168.833	158.08	111.13
2185.517	158.06	111.13



