Time (ms)	X (cm)	Y (cm)
0.	189.93	112.45
16.683	189.93	112.45
33.367	189.93	112.45
50.05	190.19	112.46
66.733	190.19	112.46
83.417	190.19	112.46
100.1	190.45	112.47
116.783	190.44	112.47
133.467	190.44	112.47
150.15	190.45	112.47
166.833	190.45	112.48
183.517	190.70	112.23
200.2	190.96	112.23
216.883	190.96	112.24
233.567	191.21	112.24
250.25	191.73	112.25
266.933	191.98	112.25
283.617	191.85	113.28
300.3	191.85	113.29
316.983	192.11	113.30
333.667	192.62	113.30
350.35	192.49	114.59
367.033	192.74	114.60
383.717	193.00	114.60
400.4	193.51	114.61
417.083	193.77	114.61
433.767	194.28	114.62
450.45	194.53	114.87
467.133	193.51	114.62
483.817	195.31	115.52
500.5	195.81	115.52
517.183	196.07	115.52
533.867	196.33	115.53
550.55	196.58	115.53
567.233	196.84	115.54
583.917	197.16	116.38
600.6	197.42	116.39
617.283	197.93	116.39
633.967	198.18	116.40
650.65	198.44	116.40
667.333	198.24	117.25
684.017	198.49	117.25
700.7	198.68	117.51
717.383	198.94	117.52
734.067	199.20	117.52
750.75	199.20	117.77
767.433	198.87	118.48
784.117	198.87	118.48
800.8	199.13	118.74
817.483	199.13	118.74
834.167	199.13	118.48
850.85	199.06	119.58
867.533	198.81	120.36
884.217	198.55	120.62
900.9	199.13	120.93
917.583	199.13	121.38
934.267	199.13	121.64
950.95	198.81	122.34
967.633	198.30	122.86
984.317	198.05	123.37
1001.	197.54	124.13
1017.683	197.61	124.47
1034.367	196.84	124.98
1051.05	196.08	125.49
1067.733	195.30	125.49
1084.417	194.03	125.49
1101.1	193.00	124.98
1117.783	192.10	124.13
1134.467	190.31	122.78
1151.15	188.38	120.86
1167.833	186.79	118.75
1184.517	185.26	116.70
1201.2	184.48	114.40
1217.883	183.72	112.60
1234.567	183.66	111.77
1251.25	183.85	110.87
1267.933	183.60	109.85
1284.617	183.09	108.57
1301.3	182.57	107.29
1317.983	181.81	105.75
1334.667	181.55	104.98
1351.35	181.30	104.47
1368.033	181.30	104.73
1384.717	181.30	105.24
1401.4	181.55	105.49
1418.083	181.80	106.26
1434.767	181.87	106.90
1451.45	181.80	107.41
1468.133	181.48	109.68
1484.817	181.74	111.22
1501.5	182.00	112.50
1518.183	182.52	113.27
1534.867	183.03	113.79
1551.55	183.55	114.30
1568.233	184.05	114.81
1584.917	184.31	115.07
1601.6	184.57	115.33
1618.283	185.07	115.59
1634.967	185.32	115.84
1651.65	185.77	115.58
1668.333	185.89	115.72
1685.017	185.90	115.97
1701.7	186.15	115.97
1718.383	186.16	116.22
1735.067	186.41	116.23
1751.75	186.41	116.48
1768.433	186.41	116.48
1785.117	186.66	116.49
1801.8	186.66	116.74
1818.483	186.66	116.74
1835.167	186.66	116.74
1851.85	186.66	116.74
1868.533	186.66	116.74
1885.217	186.91	116.75
1901.9	186.91	117.00
1918.583	186.66	116.75
1935.267	186.66	117.00
1951.95	186.66	116.99
1968.633	186.66	116.99
1985.317	186.66	116.73
2002.	186.66	116.73
2018.683	186.40	116.73
2035.367	186.40	116.73
2052.05	185.89	116.47
2068.733	185.64	116.47
2085.417	185.39	116.47
2102.1	185.13	116.21
2118.783	184.88	115.96
2135.467	184.63	115.71
2152.15	184.12	115.70
2168.833	183.87	115.44
2185.517	183.86	115.19


