Time (ms)	X (cm)	Y (cm)
0.	199.99	125.20
16.683	199.73	125.46
33.367	199.73	125.71
66.733	200.44	126.33
83.417	200.69	126.58
100.1	200.95	126.59
116.783	201.19	126.85
133.467	201.01	127.10
150.15	200.50	128.46
166.833	200.03	127.18
183.517	199.23	126.62
200.2	198.72	127.52
216.883	198.46	126.50
233.567	196.82	126.65
250.25	195.20	126.16
266.933	194.94	126.66
283.617	194.94	127.17
300.3	194.31	127.43
316.983	194.31	127.69
333.667	194.30	128.20
350.35	194.05	128.46
367.033	193.53	128.97
383.717	193.27	129.23
400.4	192.22	129.84
417.083	191.71	130.34
433.767	190.97	131.08
450.45	190.73	131.96
467.133	190.53	132.76
483.817	190.20	133.36
500.5	190.23	133.94
517.183	190.15	134.98
533.867	189.82	136.36
550.55	189.47	137.51
567.233	189.25	138.54
583.917	188.43	139.91
600.6	188.44	141.43
617.283	188.44	141.68
633.967	188.81	143.50
650.65	186.85	143.94
667.333	186.52	145.89
684.017	186.05	146.80
700.7	186.29	148.98
717.383	185.80	150.36
734.067	185.17	153.05
750.75	184.92	153.05
767.433	185.32	153.51
784.117	184.19	156.31
800.8	183.33	157.70
817.483	183.33	158.92
834.167	183.33	159.82
850.85	182.81	160.71
867.533	182.56	163.25
884.217	182.29	164.15
900.9	182.39	165.46
917.583	182.49	166.12
934.267	182.74	165.23
950.95	184.76	162.68
967.633	188.42	164.77
984.317	196.75	168.32
1001.	197.79	172.44
1017.683	199.59	176.44
1034.367	200.24	180.43
1051.05	200.30	183.72
1067.733	199.15	186.70
1084.417	197.10	187.86
1101.1	197.74	186.45
1117.783	196.71	182.84
1134.467	196.84	177.70
1151.15	197.09	173.85
1167.833	196.20	170.51
1184.517	195.81	169.35
1201.2	195.04	158.68
1217.883	192.99	147.11
1234.567	195.16	135.80
1251.25	195.78	130.14
1267.933	194.63	124.48
1284.617	193.74	118.31
1301.3	193.48	114.84
1317.983	192.96	113.68
1334.667	193.42	112.46
1351.35	193.42	111.50
1368.033	193.41	110.62
1384.717	193.15	110.86
1401.4	193.14	111.13
1418.083	193.86	112.10
1434.767	194.70	113.89
1451.45	195.73	114.08
1468.133	197.01	114.99
1484.817	196.76	115.00
1501.5	197.27	115.78
1518.183	198.04	116.07
1534.867	198.80	116.08
1551.55	199.32	116.09
1568.233	200.09	116.10
1584.917	200.60	116.12
1601.6	201.37	116.15
1618.283	202.39	116.18
1634.967	203.41	116.42
1651.65	204.18	116.41
1668.333	205.20	116.40
1685.017	205.97	116.40
1701.7	206.73	116.40
1718.383	207.50	116.44
1735.067	208.27	116.69
1751.75	209.03	116.68
1768.433	209.54	116.68
1785.117	209.80	116.68
1801.8	210.31	116.68
1818.483	210.56	116.69
1835.167	210.81	116.69
1851.85	210.80	116.70
1868.533	210.79	116.71
1885.217	210.53	116.72
1901.9	210.27	116.73
1918.583	209.76	116.72
1935.267	209.25	116.72
1951.95	208.74	116.71
1968.633	208.23	116.70
1985.317	207.21	116.70
2002.	206.44	116.69
2018.683	205.68	116.44
2035.367	204.92	116.43
2052.05	204.15	116.42
2068.733	203.38	116.18
2085.417	202.61	116.16
2102.1	201.84	115.91
2118.783	201.33	115.68
2135.467	200.82	115.67
2152.15	200.57	115.41
2168.833	200.06	115.16
2185.517	199.81	115.14
