Time (ms)	X (cm)	Y (cm)
0.	176.62	152.19
16.683	176.62	152.19
33.367	176.88	152.19
50.05	177.13	152.19
66.733	177.13	152.20
83.417	177.39	152.20
100.1	178.00	152.81
116.783	177.90	152.81
133.467	178.15	152.81
150.15	178.16	152.82
166.833	178.16	152.82
183.517	178.42	152.83
200.2	179.18	152.93
216.883	179.43	152.94
233.567	179.44	152.94
250.25	179.69	152.94
266.933	179.95	152.94
283.617	180.20	152.95
300.3	180.26	153.87
316.983	180.51	153.87
333.667	180.46	153.98
350.35	180.72	153.98
367.033	180.97	153.98
383.717	180.97	153.98
400.4	180.97	153.98
417.083	181.23	153.98
433.767	181.95	154.80
450.45	182.51	155.11
467.133	182.76	155.11
483.817	182.76	155.11
500.5	183.02	155.11
517.183	183.02	155.11
533.867	182.76	155.11
550.55	183.02	155.11
567.233	183.02	155.11
583.917	183.02	155.11
600.6	183.02	155.11
617.283	183.02	155.12
633.967	183.28	155.12
650.65	183.28	155.12
667.333	183.53	155.13
684.017	183.79	155.38
700.7	184.05	155.37
717.383	184.30	155.37
734.067	184.30	155.36
750.75	184.30	155.36
767.433	181.90	154.85
784.117	181.33	154.04
800.8	180.82	154.04
817.483	181.03	154.71
834.167	180.51	154.96
850.85	179.75	154.96
867.533	180.81	155.58
884.217	180.05	155.58
900.9	180.30	155.59
917.583	180.00	156.51
934.267	179.13	156.92
950.95	179.13	157.43
967.633	178.62	157.84
984.317	177.50	158.71
1001.	176.89	158.71
1017.683	176.89	159.74
1034.367	174.74	158.82
1051.05	174.38	158.67
1067.733	173.87	158.93
1084.417	172.34	158.67
1101.1	171.83	158.67
1117.783	171.31	157.65
1134.467	170.49	155.56
1151.15	170.39	154.64
1167.833	170.64	154.18
1184.517	170.13	153.92
1201.2	169.62	152.65
1217.883	169.31	148.30
1234.567	168.79	146.77
1251.25	168.02	145.49
1267.933	167.51	144.46
1284.617	167.00	143.69
1301.3	165.78	143.33
1317.983	165.42	142.72
1334.667	165.16	142.46
1351.35	165.16	142.46
1368.033	165.32	142.00
1384.717	165.32	142.25
1401.4	165.32	142.51
1418.083	165.06	142.77
1434.767	166.70	143.69
1451.45	166.71	144.46
1468.133	166.96	146.25
1484.817	166.96	148.04
1501.5	167.48	149.06
1518.183	168.24	149.83
1534.867	168.75	150.35
1551.55	169.26	150.86
1568.233	169.51	151.11
1584.917	169.51	151.37
1601.6	170.02	151.88
1618.283	170.27	152.14
1634.967	170.53	152.40
1651.65	170.78	152.65
1668.333	170.79	152.91
1685.017	170.79	153.42
1701.7	170.79	153.67
1718.383	171.04	153.93
1735.067	170.78	153.93
1751.75	170.78	154.18
1768.433	170.79	154.18
1785.117	171.04	154.44
1801.8	171.04	154.44
1818.483	171.04	154.45
1835.167	170.78	154.44
1851.85	170.78	154.44
1868.533	170.78	154.70
1885.217	170.78	154.70
1901.9	170.52	154.95
1918.583	170.52	154.95
1935.267	170.52	154.95
1951.95	170.27	154.94
1968.633	170.27	154.94
1985.317	170.27	154.94
2002.	170.26	154.94
2018.683	170.01	154.68
2035.367	169.75	154.68
2052.05	169.50	154.43
2068.733	169.24	154.42
2085.417	168.99	154.17
2102.1	168.73	153.91
2118.783	168.48	153.66
2135.467	168.23	153.41
2152.15	167.97	153.41
2168.833	167.72	153.15
2185.517	167.72	152.89

