Time (ms)	X (cm)	Y (cm)
0.	162.69	160.36
16.683	161.92	161.12
33.367	162.26	160.42
50.05	162.72	159.83
116.783	162.92	159.57
133.467	163.05	159.30
150.15	163.42	159.23
166.833	164.00	159.87
183.517	164.45	160.39
200.2	165.74	161.29
216.883	165.99	161.80
233.567	166.24	161.81
250.25	166.49	162.06
266.933	166.75	162.32
283.617	167.00	162.57
300.3	167.51	163.08
316.983	168.01	163.33
333.667	168.52	163.59
350.35	169.03	163.84
367.033	169.79	163.84
383.717	170.30	164.35
400.4	170.88	165.12
417.083	171.65	165.38
433.767	172.16	165.64
450.45	172.67	165.89
467.133	172.93	166.40
483.817	173.44	166.40
500.5	173.70	166.66
517.183	174.21	166.66
533.867	174.46	166.91
550.55	174.71	166.91
567.233	174.97	166.66
583.917	174.97	166.91
600.6	175.23	166.66
617.283	175.49	166.40
633.967	175.49	166.40
650.65	175.74	165.89
667.333	175.73	165.63
684.017	175.74	165.12
700.7	175.74	164.61
717.383	175.74	164.10
734.067	175.41	164.17
750.75	175.08	164.04
767.433	174.58	163.79
784.117	174.07	163.28
800.8	173.24	163.35
817.483	172.47	163.35
834.167	171.70	163.10
850.85	170.42	162.58
867.533	169.56	162.15
884.217	168.54	161.64
900.9	167.26	161.13
917.583	165.73	160.36
934.267	164.70	159.60
950.95	163.42	158.83
967.633	162.40	157.81
984.317	161.12	156.79
1001.	158.81	155.76
1017.683	157.79	154.99
1034.367	156.77	153.96
1051.05	156.01	153.19
1067.733	155.48	152.43
1084.417	154.71	150.95
1101.1	154.67	150.69
1117.783	154.42	150.43
1134.467	154.42	149.93
1151.15	154.42	149.67
1167.833	155.00	148.90
1184.517	155.00	148.13
1201.2	155.25	147.62
1217.883	155.25	147.10
1234.567	154.67	146.65
1251.25	153.06	145.62
1267.933	152.82	145.88
1284.617	152.81	145.88
1301.3	152.55	145.37
1317.983	152.30	145.37
1334.667	152.06	145.37
1351.35	152.06	145.63
1368.033	151.34	145.30
1384.717	151.32	145.56
1401.4	151.07	145.56
1418.083	151.05	146.07
1434.767	150.79	146.33
1451.45	150.55	146.33
1468.133	150.31	147.87
1484.817	150.07	149.15
1501.5	150.09	149.66
1518.183	150.09	150.18
1534.867	150.30	150.43
1551.55	150.34	150.43
1568.233	150.30	150.44
1584.917	150.32	150.43
1601.6	150.33	150.44
1618.283	150.57	150.70
1634.967	150.78	150.96
1651.65	150.77	151.22
1668.333	150.78	151.47
1685.017	150.79	151.73
1701.7	150.79	151.98
1718.383	150.78	152.23
1735.067	150.77	152.24
1751.75	150.77	152.49
1768.433	150.78	152.50
1785.117	150.79	152.75
1801.8	150.81	152.74
1818.483	151.14	152.68
1835.167	151.20	152.74
1851.85	151.26	153.00
1868.533	151.25	153.01
1885.217	151.24	153.01
1901.9	151.20	153.02
1918.583	150.98	153.02
1935.267	151.00	153.02
1951.95	151.00	153.02
1968.633	150.96	153.02
1985.317	150.73	153.02
2002.	150.73	153.01
2018.683	150.69	152.76
2035.367	150.44	152.76
2052.05	150.18	152.75
2068.733	149.92	152.49
2085.417	149.63	152.49
2102.1	149.35	152.23
2118.783	149.08	152.22
2135.467	148.83	151.96
2152.15	148.60	151.70
2168.833	148.37	151.69
2185.517	148.35	151.44

