Time (ms)	X (cm)	Y (cm)
0.	186.44	151.77
16.683	186.46	151.79
33.367	186.72	151.81
50.05	186.72	152.04
66.733	186.96	152.01
83.417	186.95	151.99
100.1	186.95	151.97
116.783	186.96	151.95
133.467	186.97	151.95
150.15	186.91	152.54
166.833	186.58	152.68
183.517	186.59	152.35
200.2	186.59	152.36
216.883	186.46	152.51
233.567	186.46	152.51
250.25	186.13	152.78
266.933	185.93	152.84
283.617	185.93	152.85
300.3	185.80	153.00
316.983	185.54	153.13
333.667	185.22	153.19
350.35	184.83	153.32
367.033	184.83	153.32
383.717	184.83	153.32
400.4	184.57	153.32
417.083	184.12	153.38
433.767	184.12	153.38
450.45	183.86	153.45
467.133	183.60	153.38
483.817	183.34	153.77
500.5	183.35	153.77
517.183	183.48	153.89
533.867	183.48	153.90
550.55	183.34	154.36
567.233	183.35	154.36
583.917	183.60	154.36
600.6	183.60	154.37
617.283	182.12	154.30
633.967	182.12	154.30
650.65	182.12	154.30
667.333	182.13	154.30
684.017	182.38	154.30
700.7	182.12	154.30
717.383	182.12	154.04
734.067	181.87	154.04
750.75	181.61	154.04
767.433	181.93	155.01
784.117	181.68	156.61
800.8	180.46	157.44
817.483	180.21	158.47
834.167	179.95	159.49
850.85	179.44	160.52
867.533	178.26	160.24
884.217	178.01	160.50
900.9	177.76	160.75
917.583	178.02	159.73
934.267	178.88	158.24
950.95	180.26	156.76
967.633	180.82	157.48
984.317	181.84	158.63
1001.	182.10	159.79
1017.683	182.86	160.94
1034.367	182.87	162.09
1051.05	181.59	163.25
1067.733	181.84	164.27
1084.417	182.10	165.42
1101.1	182.35	165.69
1117.783	182.90	165.99
1134.467	183.16	165.47
1151.15	183.16	164.44
1167.833	183.15	163.29
1184.517	183.15	162.13
1201.2	182.54	159.45
1217.883	186.68	159.34
1234.567	189.11	157.49
1251.25	189.72	154.84
1267.933	189.30	152.10
1284.617	188.23	150.12
1301.3	187.55	148.04
1317.983	187.55	145.35
1334.667	188.26	143.79
1351.35	188.61	142.45
1368.033	188.87	142.20
1384.717	189.12	142.45
1401.4	189.63	142.71
1418.083	190.51	144.04
1434.767	190.77	144.81
1451.45	191.42	146.14
1468.133	191.73	148.03
1484.817	192.20	150.43
1501.5	192.45	151.58
1518.183	192.86	152.71
1534.867	193.53	154.39
1551.55	193.78	154.90
1568.233	193.78	155.41
1584.917	193.78	155.66
1601.6	193.79	155.90
1618.283	194.04	155.89
1634.967	194.29	155.90
1651.65	194.45	157.37
1668.333	194.75	157.88
1685.017	194.75	157.89
1701.7	194.50	158.14
1718.383	194.50	158.14
1735.067	194.50	158.14
1751.75	193.27	158.86
1768.433	193.28	158.86
1785.117	193.27	158.85
1801.8	193.27	158.84
1818.483	193.27	158.82
1835.167	193.01	158.80
1851.85	193.01	158.77
1868.533	193.01	158.79
1885.217	193.00	158.80
1901.9	192.99	158.56
1918.583	192.74	158.56
1935.267	192.75	158.56
1951.95	192.75	158.56
1968.633	191.93	158.45
1985.317	191.92	158.43
2002.	191.91	158.41
2018.683	191.66	158.17
2035.367	191.65	158.17
2052.05	191.39	158.15
2068.733	190.89	157.90
2085.417	190.64	157.87
2102.1	190.40	157.62
2118.783	190.39	157.59
2135.467	190.14	157.35
2152.15	189.90	157.32
2168.833	189.65	157.06
2185.517	189.41	156.81

