Time (ms)	X (cm)	Y (cm)
0.000	201.36	111.62
16.683	201.11	112.77
33.367	201.36	113.93
50.05	201.56	115.74
66.733	201.17	117.28
83.417	201.05	119.40
100.1	201.24	121.13
116.783	200.98	123.58
133.467	200.66	126.42
150.15	200.47	127.96
166.833	200.42	129.95
183.517	200.30	131.63
200.2	200.50	133.43
216.883	200.50	134.98
233.567	200.50	136.39
250.25	200.49	137.55
266.933	200.35	138.76
283.617	200.35	139.78
300.3	200.09	140.50
316.983	199.98	141.14
333.667	199.67	142.17
350.35	199.61	142.87
367.033	199.61	143.13
383.717	199.48	143.98
400.4	198.84	144.49
417.083	198.45	144.80
433.767	198.13	145.18
450.45	197.43	145.58
467.133	196.85	145.90
483.817	196.34	146.15
500.5	195.57	146.66
517.183	195.38	146.02
533.867	194.87	146.27
550.55	194.16	146.97
567.233	193.53	147.48
583.917	193.21	147.86
600.6	193.14	148.76
617.283	192.76	149.14
633.967	192.75	149.65
650.65	192.76	150.17
667.333	192.76	150.93
684.017	193.01	151.45
700.7	193.02	151.96
717.383	193.27	152.47
734.067	193.53	152.97
750.75	193.53	154.13
767.433	193.78	155.03
784.117	193.84	156.25
800.8	194.09	157.42
817.483	194.22	159.03
834.167	194.35	161.80
850.85	194.54	164.70
867.533	194.15	167.60
884.217	193.19	171.01
900.9	192.13	174.73
917.583	190.84	177.73
934.267	188.40	180.57
950.95	185.32	182.52
967.633	181.98	183.87
984.317	179.45	184.91
1001.	176.94	185.02
1017.683	176.60	185.11
1034.367	177.50	184.86
1051.05	180.47	184.88
1067.733	185.17	187.61
1084.417	188.50	190.85
1101.1	191.09	195.95
1117.783	192.55	202.68
1134.467	194.43	206.59
1151.15	196.13	202.94
1167.833	196.98	196.76
1184.517	198.11	176.40
1201.2	196.97	155.37
1217.883	193.31	141.89
1234.567	191.17	122.86
1251.25	195.06	110.98
1267.933	192.33	101.56
1284.617	191.17	95.38
1301.3	190.43	91.71
1317.983	188.07	88.04
1334.667	187.18	86.88
1351.35	186.28	85.73
1368.033	185.38	85.22
1384.717	185.13	85.74
1401.4	185.38	86.51
1418.083	185.89	87.53
1434.767	186.40	88.55
1451.45	186.91	89.58
1468.133	187.42	90.74
1484.817	188.77	93.95
1501.5	189.93	95.77
1518.183	192.22	97.19
1534.867	193.12	97.65
1551.55	194.02	98.80
1568.233	194.92	99.57
1584.917	196.96	100.34
1601.6	197.86	101.11
1618.283	200.45	101.63
1634.967	201.35	102.40
1651.65	203.74	103.42
1668.333	205.03	104.19
1685.017	206.77	104.83
1701.7	207.87	105.40
1718.383	208.97	105.91
1735.067	210.32	106.55
1751.75	211.54	106.61
1768.433	212.12	106.81
1785.117	213.01	106.82
1801.8	213.77	106.82
1818.483	214.03	107.07
1835.167	214.09	107.14
1851.85	214.34	107.14
1868.533	214.34	107.14
1885.217	213.31	107.33
1901.9	211.64	106.95
1918.583	211.24	106.57
1935.267	210.74	106.32
1951.95	210.24	106.06
1968.633	209.73	105.81
1985.317	209.21	105.29
2002.	208.44	104.78
2018.683	207.54	104.52
2035.367	206.77	103.75
2052.05	205.87	103.24
2068.733	204.97	102.48
2085.417	204.06	102.22
2102.1	203.16	101.71
2118.783	202.26	101.96
2135.467	200.97	101.19
2152.15	200.00	100.09
2168.833	199.30	99.38
2185.517	198.80	99.13


