Time (ms)	X (cm)	Y (cm)
0.	169.66	94.80
33.367	169.45	95.01
66.733	169.24	95.02
100.1	168.63	95.22
133.467	168.42	95.42
166.833	168.01	95.83
200.2	167.39	95.83
233.567	166.57	95.42
266.933	165.75	95.42
300.3	165.13	95.21
333.667	164.51	95.01
367.033	164.11	95.01
400.4	163.29	95.42
433.767	162.05	95.62
467.133	160.41	96.04
500.5	158.97	96.45
533.867	157.52	97.27
567.233	156.08	98.50
600.6	154.65	100.56
633.967	153.21	103.02
667.333	150.95	105.48
700.7	147.20	108.29
734.067	143.08	107.88
767.433	141.23	105.40
800.8	141.85	100.66
834.167	142.68	97.36
867.533	144.11	94.07
900.9	145.35	93.04
934.267	143.29	92.43
967.633	142.27	92.42
1001.	141.86	92.83
1034.367	141.65	94.27
1067.733	141.44	95.10
1101.1	141.44	95.92
1134.467	141.44	96.74
1167.833	141.44	97.16
1201.2	141.65	97.58
1234.567	141.86	97.99
1267.933	142.27	98.19
1301.3	142.48	97.79
1334.667	142.89	97.79
1368.033	143.30	97.79
1401.4	144.13	97.17
1434.767	144.74	97.16
1468.133	145.16	96.75
1501.5	146.39	96.34
1534.867	146.80	96.13
1568.233	146.59	96.34
1601.6	146.79	95.94
1634.967	148.44	95.73
1668.333	148.64	95.53
1701.7	149.06	95.32
1735.067	149.46	95.33
1768.433	149.88	94.91

