Time (ms)	X (cm)	Y (cm)
0.	191.07	119.32
33.367	192.53	121.07
66.733	195.15	121.95
100.1	198.34	122.98
133.467	201.54	122.11
166.833	204.44	120.22
200.2	205.26	121.36
233.567	205.26	122.49
266.933	205.26	123.63
300.3	203.59	125.93
333.667	202.31	128.15
367.033	199.69	129.72
400.4	200.27	131.30
433.767	199.69	133.16
467.133	198.91	134.59
500.5	199.28	138.64
533.867	198.70	141.84
567.233	196.08	147.08
600.6	192.88	152.62
633.967	177.58	157.77
667.333	153.10	168.28
700.7	130.21	165.70
734.067	117.41	156.37
767.433	113.06	154.72
800.8	109.56	145.69
834.167	107.81	126.76
867.533	105.77	113.36
900.9	109.27	102.88
934.267	114.51	97.64
967.633	120.05	94.72
1001.	128.47	94.74
1034.367	131.66	95.76
1067.733	134.16	99.12
1101.1	135.43	101.03
1134.467	135.41	105.07
1167.833	134.29	107.38
1201.2	135.31	108.52
1234.567	136.13	109.56
1267.933	137.16	110.69
1301.3	137.77	111.10
1334.667	138.60	111.10
1368.033	139.00	111.10
1401.4	139.83	110.69
1434.767	140.44	110.28
1468.133	141.26	109.87
1501.5	142.49	109.46
1534.867	143.93	109.05
1568.233	145.16	108.23
1601.6	146.60	107.82
1634.967	147.84	107.41
1668.333	148.66	106.58
1701.7	149.28	105.45
1735.067	150.10	105.04
1768.433	150.72	105.04

