Time (ms)	X (cm)	Y (cm)
0.	171.43	111.34
33.367	171.43	111.54
66.733	171.02	111.54
100.1	170.61	111.13
133.467	170.00	111.12
166.833	169.38	110.72
200.2	168.97	110.72
233.567	168.56	110.51
266.933	168.35	110.30
300.3	167.74	109.89
333.667	167.33	109.48
367.033	166.92	109.27
400.4	166.51	109.48
433.767	166.09	110.09
467.133	165.47	110.71
500.5	164.44	111.33
533.867	163.00	112.16
567.233	161.15	113.80
600.6	158.78	116.26
633.967	155.25	121.41
667.333	152.31	123.05
700.7	145.59	125.67
734.067	139.12	124.01
767.433	137.56	118.38
800.8	137.72	113.30
834.167	138.54	111.86
867.533	138.34	109.39
900.9	138.13	106.92
934.267	137.93	105.69
967.633	137.72	105.69
1001.	137.92	106.51
1034.367	138.71	108.89
1067.733	139.73	110.54
1101.1	139.77	110.88
1134.467	140.31	111.38
1167.833	141.55	112.20
1201.2	142.00	112.36
1234.567	142.74	112.68
1267.933	143.47	112.89
1301.3	146.50	113.26
1334.667	147.12	113.47
1368.033	148.02	113.06
1401.4	148.64	113.26
1434.767	149.05	112.85
1468.133	149.66	112.85
1501.5	149.92	113.10
1534.867	150.20	112.65
1568.233	150.58	112.85
1601.6	150.87	112.56
1634.967	151.24	112.73
1668.333	151.75	112.72
1701.7	152.25	112.76
1735.067	152.49	112.76
1768.433	152.90	112.35


