Time (ms)	X (cm)	Y (cm)
0.	182.35	139.02
33.367	182.56	139.02
66.733	182.35	139.02
100.1	182.35	138.82
133.467	182.06	137.35
166.833	180.26	136.53
200.2	179.47	136.67
233.567	178.87	137.53
266.933	176.08	137.29
300.3	174.49	137.20
333.667	173.58	137.12
367.033	172.97	136.71
400.4	172.35	136.31
433.767	173.38	137.12
467.133	170.55	136.47
500.5	169.32	136.47
533.867	167.56	136.97
567.233	166.54	136.16
600.6	166.05	135.50
633.967	164.09	136.98
667.333	161.14	140.09
700.7	153.44	148.60
734.067	144.11	148.44
767.433	137.20	145.73
800.8	130.61	142.70
834.167	127.96	138.60
867.533	124.88	133.12
900.9	122.51	130.73
934.267	121.08	127.04
967.633	121.70	126.63
1001.	122.93	127.45
1034.367	124.37	129.09
1067.733	126.88	130.66
1101.1	128.52	132.71
1134.467	130.68	134.77
1167.833	132.84	136.00
1201.2	136.70	136.82
1234.567	138.76	137.24
1267.933	140.40	137.64
1301.3	142.05	137.63
1334.667	143.78	137.96
1368.033	144.60	137.96
1401.4	145.42	137.96
1434.767	146.04	137.95
1468.133	146.45	137.95
1501.5	146.65	137.95
1534.867	147.63	137.42
1568.233	147.84	137.21
1601.6	148.04	137.02
1634.967	148.25	137.01
1668.333	148.45	137.01
1701.7	148.86	136.81
1735.067	149.72	136.80
1768.433	149.72	136.60

