Time (ms)	X (cm)	Y (cm)
0.	166.14	128.43
33.367	170.15	130.70
66.733	176.25	131.55
100.1	181.31	133.92
133.467	185.18	135.10
166.833	190.42	135.26
200.2	192.88	136.28
233.567	193.28	136.69
266.933	196.97	137.38
300.3	198.92	138.93
333.667	198.72	139.14
367.033	200.01	141.18
400.4	200.79	143.38
433.767	200.96	148.64
467.133	199.01	154.66
500.5	195.52	161.36
533.867	191.73	167.19
567.233	187.00	169.77
600.6	184.59	169.88
633.967	182.04	167.77
667.333	176.51	169.87
700.7	162.24	175.41
734.067	126.42	176.86
767.433	95.26	168.91
800.8	74.48	156.58
834.167	74.89	119.97
867.533	87.03	102.27
900.9	91.11	80.85
934.267	103.37	75.90
967.633	112.38	73.51
1001.	117.69	73.70
1034.367	121.42	75.80
1067.733	122.56	78.24
1101.1	123.43	79.95
1134.467	122.79	83.56
1167.833	121.96	86.21
1201.2	121.57	87.99
1234.567	120.79	89.26
1267.933	120.51	89.99
1301.3	121.17	89.37
1334.667	121.68	89.05
1368.033	123.44	88.13
1401.4	125.29	86.90
1434.767	128.17	84.83
1468.133	131.31	84.74
1501.5	133.89	83.39
1534.867	136.36	82.57
1568.233	139.24	81.74
1601.6	141.91	80.92
1634.967	144.58	80.10
1668.333	147.26	79.69
1701.7	149.52	79.27
1735.067	151.58	78.86
1768.433	152.81	78.45

