Time (ms)	X (cm)	Y (cm)
0.	89.22	117.05
16.683	88.73	117.21
33.367	88.49	116.98
50.05	88.59	116.29
66.733	88.26	116.87
83.417	88.02	116.34
100.1	88.42	116.25
116.783	87.97	116.25
133.467	87.98	116.55
150.15	87.57	116.28
166.833	86.95	116.10
183.517	87.14	116.09
200.2	86.55	115.96
216.883	86.14	115.99
233.567	85.60	116.70
250.25	85.53	117.41
266.933	85.70	118.31
283.617	85.58	118.86
300.3	84.91	119.80
316.983	84.46	120.46
333.667	84.98	121.13
350.35	85.37	122.04
367.033	85.96	122.81
383.717	86.24	123.74
400.4	86.80	124.28
417.083	86.59	125.53
433.767	86.75	127.27
450.45	87.34	127.77
467.133	87.15	129.36
483.817	87.15	130.87
500.5	86.87	132.55
517.183	87.05	132.70
533.867	89.19	131.93
550.55	90.93	130.81
567.233	92.39	130.05
583.917	93.67	128.77
600.6	95.17	126.50
617.283	95.93	124.05
633.967	96.45	122.72
650.65	97.14	119.03
667.333	97.66	116.77
684.017	97.67	115.85
700.7	97.77	115.15
717.383	97.89	115.47
734.067	99.09	112.63
