Time (ms)	X (cm)	Y (cm)
0.	111.90	123.23
16.683	111.88	123.52
33.367	111.59	123.52
50.05	110.99	123.53
66.733	110.68	123.52
83.417	110.09	123.51
100.1	109.80	123.51
116.783	109.51	123.22
133.467	109.20	123.22
150.15	108.60	122.93
166.833	108.01	122.92
183.517	107.71	122.63
200.2	107.12	122.63
216.883	106.82	122.64
233.567	106.51	122.94
250.25	105.92	123.24
266.933	105.61	123.54
283.617	105.02	123.84
300.3	104.71	124.15
316.983	104.41	124.45
333.667	104.41	124.75
350.35	104.72	124.76
367.033	105.31	124.76
383.717	106.21	124.16
400.4	107.10	123.86
417.083	108.30	122.97
433.767	109.79	122.07
450.45	110.99	120.88
467.133	112.18	119.98
483.817	115.64	117.43
500.5	118.05	115.77
517.183	120.02	113.65
533.867	121.55	111.68
550.55	122.04	110.47
567.233	122.37	108.35
583.917	122.55	107.28
600.6	121.98	106.81
617.283	122.61	107.25
633.967	123.68	108.44
650.65	124.16	109.34
667.333	124.79	110.39
684.017	125.72	111.29
700.7	125.45	111.45
717.383	126.39	111.30
734.067	126.98	111.75
