Time (ms)	X (cm)	Y (cm)
0.	85.89	125.97
16.683	86.56	125.83
33.367	87.75	125.23
50.05	88.64	125.23
66.733	89.24	125.24
83.417	90.74	125.83
100.1	92.45	126.76
116.783	93.47	127.47
133.467	94.06	128.15
150.15	94.38	129.27
166.833	95.61	130.52
183.517	96.37	131.29
200.2	96.13	132.25
216.883	96.39	133.78
233.567	97.28	135.71
250.25	98.56	137.96
266.933	100.99	142.47
283.617	101.93	145.79
300.3	103.27	148.47
316.983	105.15	151.29
333.667	106.57	155.25
350.35	105.61	157.86
367.033	104.89	159.37
383.717	102.91	160.44
400.4	100.03	161.01
417.083	95.78	162.85
433.767	91.02	169.51
450.45	89.50	177.38
467.133	88.74	186.19
483.817	90.22	194.46
500.5	91.36	198.78
517.183	92.61	201.15
533.867	94.37	202.07
550.55	93.84	195.73
567.233	91.87	190.35
583.917	92.94	185.25
600.6	95.43	178.41
617.283	97.04	171.71
633.967	97.71	166.08
650.65	98.50	154.79
667.333	98.88	141.18
684.017	99.64	138.46
700.7	100.19	132.93
717.383	101.25	127.86
734.067	101.25	125.02

