Time (ms)	X (cm)	Y (cm)
0.	94.91	159.52
16.683	94.91	159.52
33.367	95.20	159.52
50.05	95.20	159.22
66.733	95.21	159.22
83.417	95.22	159.22
100.1	95.22	159.22
116.783	95.52	159.22
133.467	95.14	158.39
150.15	95.59	158.16
166.833	96.19	158.76
183.517	96.49	158.46
200.2	95.88	158.01
216.883	96.32	158.60
233.567	96.76	158.97
250.25	96.97	159.27
266.933	97.13	159.71
283.617	97.37	160.30
300.3	97.67	160.74
316.983	98.11	161.26
333.667	99.00	161.86
350.35	99.73	162.39
367.033	100.55	162.99
383.717	101.91	163.14
400.4	102.74	163.38
417.083	104.91	164.39
433.767	106.86	164.92
450.45	109.04	164.61
467.133	110.54	164.39
483.817	112.13	163.62
500.5	113.86	161.87
517.183	116.05	160.28
533.867	117.65	159.20
550.55	118.34	158.21
567.233	118.50	156.38
583.917	118.75	154.93
600.6	119.07	154.01
617.283	119.00	153.63
633.967	118.80	153.46
650.65	119.35	153.23
667.333	119.90	153.21
684.017	120.90	153.34
700.7	121.15	153.40
717.383	121.41	153.25
734.067	121.98	152.60
