Time (ms)	X (cm)	Y (cm)
0.	87.70	155.38
16.683	88.46	155.38
33.367	88.47	155.38
50.05	88.78	155.37
66.733	89.37	155.36
83.417	89.68	155.36
100.1	91.76	154.78
116.783	92.71	154.53
133.467	93.62	154.87
150.15	94.34	155.00
166.833	95.02	155.20
183.517	95.64	154.85
200.2	95.80	154.62
216.883	96.47	154.78
233.567	96.54	155.20
250.25	97.87	155.88
266.933	98.88	156.48
283.617	99.64	156.94
300.3	100.76	157.20
316.983	101.60	157.55
333.667	102.69	158.15
350.35	103.56	160.48
367.033	104.46	162.09
383.717	105.83	163.17
400.4	102.37	164.19
417.083	100.75	163.06
433.767	100.63	164.14
450.45	100.15	165.69
467.133	100.15	167.12
483.817	98.84	169.27
500.5	99.33	171.37
517.183	100.57	172.03
533.867	101.30	171.32
550.55	102.03	171.25
567.233	103.35	170.83
583.917	104.67	170.11
600.6	105.50	168.80
617.283	105.38	167.24
633.967	105.38	165.69
650.65	105.91	164.27
667.333	106.33	161.88
684.017	106.26	160.58
700.7	106.37	159.04
717.383	106.36	156.79
734.067	106.95	155.14

