Time (ms)	X (cm)	Y (cm)
0.	110.56	167.05
16.683	110.68	167.54
33.367	111.57	167.23
50.05	110.98	167.23
66.733	110.68	166.93
83.417	110.68	167.23
100.1	110.68	167.23
116.783	110.68	167.23
133.467	110.38	167.23
150.15	110.38	167.23
166.833	110.08	166.93
183.517	110.09	166.93
200.2	110.09	166.93
216.883	110.39	166.93
233.567	110.39	166.93
250.25	110.39	167.22
266.933	110.40	167.23
283.617	110.70	167.53
300.3	111.30	167.83
316.983	111.71	168.66
333.667	113.09	170.27
350.35	114.05	170.80
367.033	114.35	171.63
383.717	115.11	172.12
400.4	116.71	172.38
417.083	120.89	169.27
433.767	127.22	167.54
450.45	130.86	164.73
467.133	132.89	161.50
483.817	133.60	159.71
500.5	134.08	157.92
517.183	134.08	156.96
533.867	134.20	155.65
550.55	135.63	154.10
567.233	136.71	152.66
583.917	136.71	152.66
600.6	137.31	152.54
617.283	136.71	152.66
633.967	136.71	152.66
