Time (ms)	X (cm)	Y (cm)
0.	73.29	124.95
16.683	72.76	126.07
33.367	73.18	124.48
50.05	72.58	123.87
66.733	72.28	123.86
83.417	73.80	124.12
100.1	74.11	124.66
116.783	74.83	125.55
133.467	75.27	126.21
150.15	76.43	127.54
166.833	77.41	129.05
183.517	78.31	130.45
200.2	80.55	133.02
216.883	81.75	135.80
233.567	83.20	138.98
250.25	84.65	142.33
266.933	86.97	145.73
283.617	88.68	149.21
300.3	91.57	153.93
316.983	93.07	157.62
333.667	96.15	162.98
350.35	98.29	167.14
367.033	100.55	173.59
383.717	103.33	177.52
400.4	104.10	179.75
417.083	115.08	177.20
433.767	118.00	175.75
450.45	118.37	176.63
467.133	116.63	177.30
483.817	112.47	179.85
500.5	111.00	181.19
517.183	107.52	184.27
533.867	98.00	201.83
550.55	96.80	212.52
567.233	96.26	216.00
583.917	95.72	212.65
600.6	96.13	199.65
617.283	96.13	185.58
633.967	97.47	168.03
650.65	98.41	146.22
667.333	100.26	128.23
684.017	101.47	114.21
700.7	102.02	105.82
717.383	103.40	98.64
734.067	104.74	92.05
