Time (ms)	X (cm)	Y (cm)
0.	148.44	218.38
33.367	148.44	218.59
66.733	148.44	218.81
100.1	148.44	218.59
133.467	148.23	217.96
166.833	148.23	218.17
200.2	148.23	218.17
233.567	148.23	218.38
266.933	148.23	218.38
300.3	148.23	218.17
333.667	148.23	217.96
367.033	148.23	217.74
400.4	148.23	217.74
433.767	148.23	217.74
467.133	148.23	217.74
500.5	148.23	217.32
533.867	150.25	207.67
567.233	151.45	183.59
600.6	167.65	146.35
633.967	187.30	97.79
667.333	212.28	40.90
700.7	227.63	5.39
734.067	250.81	5.39
