Time (ms)	X (cm)	Y (cm)
0.	59.20	99.42
33.367	57.62	98.06
66.733	56.49	97.62
100.1	56.26	97.39
133.467	56.26	97.39
166.833	57.17	96.93
200.2	58.78	96.61
233.567	59.92	96.29
266.933	60.15	96.51
300.3	61.73	96.06
333.667	63.54	95.61
367.033	65.58	95.61
400.4	67.17	96.07
433.767	68.52	96.97
467.133	69.46	98.82
500.5	70.46	99.98
533.867	73.05	100.94
567.233	76.45	102.66
600.6	79.84	105.53
633.967	83.55	110.63
667.333	88.13	116.53
700.7	91.29	120.06
734.067	93.81	119.97
767.433	93.21	116.55
800.8	90.45	110.74
834.167	89.45	108.22
867.533	88.50	105.61
900.9	88.33	103.61
934.267	72.24	107.91
