Time (ms)	X (cm)	Y (cm)
0.	53.02	119.86
33.367	61.97	116.57
66.733	57.89	113.17
100.1	53.44	109.54
133.467	48.47	107.56
166.833	46.22	105.44
200.2	40.81	105.45
233.567	36.80	105.44
266.933	34.85	108.84
300.3	35.74	112.03
333.667	35.47	114.87
367.033	35.17	118.35
400.4	37.63	122.02
433.767	37.34	124.25
467.133	38.73	127.00
500.5	40.53	130.33
533.867	39.76	135.20
567.233	38.15	143.29
600.6	44.19	153.53
633.967	54.37	162.30
667.333	84.31	180.86
700.7	110.45	178.04
734.067	127.11	169.84
767.433	136.34	161.38
800.8	141.72	152.15
834.167	136.85	123.71
867.533	127.63	110.38
900.9	118.66	105.25
934.267	118.66	105.25
