Time (ms)	X (cm)	Y (cm)
0.	50.62	144.82
33.367	49.03	143.01
66.733	47.22	141.65
100.1	46.09	140.29
133.467	45.18	139.38
166.833	44.96	138.48
200.2	44.96	138.02
233.567	44.96	137.12
266.933	47.24	136.18
300.3	50.23	135.19
333.667	51.68	135.16
367.033	53.88	135.39
400.4	55.50	137.43
433.767	56.21	138.22
467.133	57.83	139.48
500.5	60.50	140.35
533.867	64.09	142.33
567.233	66.43	143.85
600.6	68.28	145.90
633.967	73.26	148.68
667.333	82.79	153.57
700.7	90.14	154.77
734.067	96.29	154.06
767.433	101.16	150.73
800.8	102.83	149.06
834.167	108.17	145.45
867.533	111.74	142.45
900.9	113.63	138.19
934.267	102.08	146.01

