
Time (ms)	X (cm)	Y (cm)
0.	52.82	120.64
33.367	52.16	118.89
66.733	50.27	117.53
100.1	50.31	117.79
133.467	50.37	117.44
166.833	51.66	115.97
200.2	53.19	115.96
233.567	54.32	115.75
266.933	56.47	115.00
300.3	57.79	114.28
333.667	59.31	113.50
367.033	61.54	113.91
400.4	63.31	114.64
433.767	64.79	115.34
467.133	66.99	116.58
500.5	69.30	116.99
533.867	71.15	118.65
567.233	72.42	120.05
600.6	75.74	125.26
633.967	79.90	132.03
667.333	88.29	138.14
700.7	94.09	139.43
734.067	99.52	136.25
767.433	98.39	129.62
800.8	96.61	127.68
834.167	96.61	125.90
867.533	97.42	123.48
900.9	97.58	121.38
934.267	97.58	121.38
