Time (ms)	X (cm)	Y (cm)
0.	91.52	129.92
33.367	88.55	125.58
66.733	83.75	117.78
100.1	76.72	113.25
133.467	71.28	109.63
166.833	64.70	106.46
200.2	58.59	104.66
233.567	51.56	103.76
266.933	45.00	103.76
300.3	38.89	105.56
333.667	33.67	109.20
367.033	29.82	114.84
400.4	28.80	122.27
433.767	28.80	132.52
467.133	30.08	135.09
500.5	34.95	146.11
533.867	42.38	155.85
567.233	52.12	163.79
600.6	57.50	163.79
633.967	59.81	165.84
667.333	62.88	168.92
700.7	89.03	188.39
734.067	116.70	195.06
767.433	149.00	172.25
800.8	166.17	147.90
834.167	155.15	113.04
867.533	144.13	96.13
900.9	130.57	86.10
934.267	130.57	86.10
