Time (ms)	X (cm)	Y (cm)
0.	107.63	126.30
16.683	107.90	126.31
33.367	107.90	126.59
50.05	108.18	126.60
66.733	108.19	126.88
83.417	108.49	126.88
100.1	108.78	127.17
116.783	109.36	127.45
133.467	109.94	127.46
150.15	110.81	127.75
166.833	111.67	128.03
183.517	112.54	128.03
200.2	113.40	128.03
216.883	114.26	128.02
233.567	115.12	127.74
250.25	115.68	127.74
266.933	115.69	127.45
283.617	115.68	127.45
300.3	115.11	127.16
316.983	114.82	126.86
333.667	114.24	126.57
350.35	113.95	126.56
367.033	113.38	126.57
383.717	112.53	126.86
400.4	111.96	126.86
417.083	111.09	127.14
433.767	109.95	127.14
450.45	108.80	126.85
467.133	107.65	126.57
483.817	106.50	126.29
500.5	104.50	126.93
517.183	103.07	126.80
533.867	100.84	126.74
550.55	98.51	126.05
567.233	96.53	125.43
583.917	93.44	124.33
600.6	90.43	123.47
617.283	88.16	122.93
633.967	85.74	122.38
650.65	83.63	121.66
667.333	82.11	120.90
684.017	81.05	120.08
700.7	80.21	119.53
717.383	79.45	119.22
734.067	79.10	118.64
750.75	78.09	117.80
767.433	77.36	116.58
784.117	77.19	115.85
800.8	77.19	115.28
817.483	77.19	115.28
834.167	76.38	114.96
850.85	76.87	114.55
867.533	76.87	114.55
884.217	77.03	113.98
900.9	77.03	113.98
