Time (ms)	X (cm)	Y (cm)
0.	129.43	122.42
16.683	129.15	122.70
33.367	129.15	122.70
50.05	130.43	123.22
66.733	131.56	123.67
83.417	130.98	124.24
100.1	131.09	124.81
116.783	130.91	125.49
133.467	131.42	126.40
150.15	130.72	126.68
166.833	130.14	126.89
183.517	129.51	127.40
200.2	130.02	127.67
216.883	128.81	127.08
233.567	128.17	126.50
250.25	128.57	125.68
266.933	128.51	125.50
283.617	127.75	125.37
300.3	127.35	125.82
316.983	126.60	125.13
333.667	126.30	125.70
350.35	125.61	125.40
367.033	124.86	125.62
383.717	124.17	126.07
400.4	123.65	125.83
417.083	123.02	126.79
433.767	122.84	126.03
450.45	122.32	126.31
467.133	121.74	126.76
483.817	120.59	127.38
500.5	120.13	127.95
517.183	119.55	128.62
533.867	118.97	128.96
550.55	118.17	129.92
567.233	117.59	130.82
583.917	116.50	131.67
600.6	115.57	132.81
617.283	114.36	133.49
633.967	113.73	134.22
650.65	112.58	134.84
667.333	110.16	132.62
684.017	109.07	131.38
700.7	107.06	129.36
717.383	105.63	127.88
734.067	104.65	126.35
750.75	104.26	125.10
767.433	104.33	124.20
784.117	105.02	123.00
800.8	106.18	122.01
817.483	107.21	121.60
834.167	108.08	120.63
850.85	107.35	120.47
867.533	107.01	120.60
884.217	106.55	120.38
900.9	106.55	120.38
