Time (ms)	X (cm)	Y (cm)
0.	127.80	138.50
16.683	128.17	138.71
33.367	127.47	139.19
50.05	126.43	139.10
66.733	125.44	139.11
83.417	123.93	139.42
100.1	122.97	139.93
116.783	121.97	140.47
133.467	121.23	140.69
150.15	120.05	141.51
166.833	119.01	142.04
183.517	118.38	142.88
200.2	117.45	143.35
216.883	115.96	144.01
233.567	115.00	144.60
250.25	114.01	145.67
266.933	112.80	146.64
283.617	111.06	148.22
300.3	110.47	149.18
316.983	109.57	152.87
333.667	109.02	154.86
350.35	108.75	157.52
367.033	107.96	160.53
383.717	107.48	162.21
400.4	107.40	163.00
417.083	107.20	164.75
433.767	106.71	165.91
450.45	105.90	166.32
467.133	106.61	167.65
483.817	108.96	169.18
500.5	111.32	171.23
517.183	115.82	174.91
533.867	118.05	178.38
550.55	118.26	181.91
567.233	118.90	186.44
583.917	118.87	190.35
600.6	118.65	194.25
617.283	118.12	196.04
633.967	117.55	198.26
650.65	115.46	198.20
667.333	113.59	195.50
684.017	112.26	189.67
700.7	111.24	185.14
717.383	110.44	182.12
734.067	108.74	177.57
750.75	105.28	163.82
767.433	102.75	150.89
784.117	102.41	145.80
800.8	101.18	136.66
817.483	101.40	132.21
834.167	100.66	125.80
850.85	100.56	122.52
867.533	100.62	119.40
884.217	100.85	117.47
900.9	101.85	115.03
