Time (ms)	X (cm)	Y (cm)
0.	117.52	166.59
16.683	117.23	166.59
33.367	116.95	166.59
50.05	116.95	166.59
66.733	116.95	166.59
83.417	116.95	166.59
100.1	116.94	166.59
116.783	116.66	166.59
133.467	116.37	166.60
150.15	115.79	166.88
166.833	115.70	166.80
183.517	115.13	166.79
200.2	114.84	166.51
216.883	114.55	166.51
233.567	113.97	166.22
250.25	113.40	165.65
266.933	112.83	165.65
283.617	111.97	165.36
300.3	111.39	165.36
316.983	110.24	165.07
333.667	109.67	165.07
350.35	108.37	164.74
367.033	107.35	164.58
383.717	106.61	164.74
400.4	105.93	164.72
417.083	105.12	164.64
433.767	104.63	164.72
450.45	103.25	164.79
467.133	101.98	165.02
483.817	100.75	165.09
500.5	99.60	164.96
517.183	98.30	165.27
533.867	96.59	165.38
550.55	94.89	165.60
567.233	93.49	165.62
583.917	92.83	165.39
600.6	90.80	165.13
617.283	89.16	165.56
633.967	87.89	164.84
650.65	86.74	164.46
667.333	85.92	163.83
684.017	85.26	162.98
700.7	84.93	161.88
717.383	82.92	159.67
734.067	82.22	157.87
750.75	81.89	156.07
767.433	81.81	154.43
784.117	82.13	153.36
800.8	82.02	152.69
817.483	81.08	152.19
834.167	79.94	151.44
850.85	79.09	151.26
867.533	78.29	150.50
884.217	77.29	149.71
900.9	78.02	149.42
