Time (ms)	X (cm)	Y (cm)
0.	99.48	172.24
16.683	100.09	173.28
33.367	100.41	174.20
50.05	100.54	173.16
66.733	101.03	173.63
83.417	100.87	173.64
100.1	101.19	173.47
116.783	101.51	173.57
133.467	101.53	173.95
150.15	102.11	173.38
166.833	101.57	173.20
183.517	100.51	172.66
200.2	100.12	172.41
216.883	100.39	172.24
233.567	100.27	171.59
250.25	99.76	171.70
266.933	98.33	172.21
283.617	97.12	171.87
300.3	96.37	171.97
316.983	95.25	170.85
333.667	94.14	170.48
350.35	93.11	169.38
367.033	91.35	169.56
383.717	90.43	169.23
400.4	89.47	168.69
417.083	87.68	167.50
433.767	85.45	167.22
450.45	84.89	166.66
467.133	83.80	165.01
483.817	82.31	163.00
500.5	81.38	161.71
517.183	80.22	160.97
533.867	78.68	160.23
550.55	77.24	159.67
567.233	75.18	158.02
583.917	74.12	157.35
600.6	72.69	155.69
617.283	71.45	154.95
633.967	70.75	154.65
650.65	70.05	154.68
667.333	69.90	154.97
684.017	69.84	155.10
700.7	69.29	154.32
717.383	68.94	155.32
734.067	68.34	155.40
750.75	70.14	155.39
767.433	68.92	152.35
784.117	69.16	151.79
800.8	68.10	152.03
817.483	67.35	151.54
834.167	66.53	152.07
850.85	67.27	153.65
867.533	67.70	153.46
884.217	68.45	153.99
900.9	68.31	153.13
