Time (ms)	X (cm)	Y (cm)
0.	128.39	164.03
16.683	127.44	165.07
33.367	126.87	164.55
50.05	126.01	164.19
66.733	125.01	164.54
83.417	123.96	164.80
100.1	122.21	165.18
116.783	120.86	165.28
133.467	119.64	165.28
150.15	118.44	165.56
166.833	117.06	166.16
183.517	115.38	165.26
200.2	114.34	164.82
216.883	113.81	164.44
233.567	113.39	164.13
250.25	112.35	163.70
266.933	112.03	162.81
283.617	111.61	161.97
300.3	112.21	161.08
316.983	111.85	160.22
333.667	110.91	160.13
350.35	110.09	160.11
367.033	109.36	160.09
383.717	108.73	160.67
400.4	107.48	161.78
417.083	106.15	162.29
433.767	105.13	163.11
450.45	105.23	164.54
467.133	105.23	165.46
483.817	104.93	164.54
500.5	106.26	164.75
517.183	105.85	166.18
533.867	105.95	167.61
550.55	106.77	169.55
567.233	108.30	170.27
583.917	109.22	170.98
600.6	109.10	172.65
617.283	107.64	174.10
633.967	106.93	174.41
650.65	105.49	174.31
667.333	103.65	174.31
684.017	101.10	173.18
700.7	99.36	172.47
717.383	97.52	171.34
734.067	97.31	169.91
750.75	95.88	167.04
767.433	93.83	164.28
784.117	93.12	162.13
800.8	93.12	162.03
817.483	93.83	160.81
834.167	94.14	159.68
850.85	95.27	156.10
867.533	96.39	152.52
884.217	96.49	150.47
900.9	96.49	150.47
