Time (ms)	X (cm)	Y (cm)
0.	135.18	136.06
16.683	134.36	136.14
33.367	134.07	136.43
50.05	134.07	136.43
66.733	133.29	136.80
83.417	132.71	137.37
100.1	131.85	137.95
116.783	130.99	138.52
133.467	128.91	139.35
150.15	128.01	140.04
166.833	127.24	140.82
183.517	126.38	141.80
200.2	126.09	142.09
216.883	125.73	143.76
233.567	123.97	145.46
250.25	122.67	146.40
266.933	122.01	147.69
283.617	121.92	149.16
300.3	121.42	150.76
316.983	121.07	153.18
333.667	120.86	155.53
350.35	120.65	157.61
367.033	120.52	162.66
383.717	119.87	165.26
400.4	119.08	170.11
417.083	118.50	175.04
433.767	117.27	179.82
450.45	114.66	184.16
467.133	111.68	186.57
483.817	109.49	189.90
500.5	106.51	194.60
517.183	102.49	197.13
533.867	99.86	199.20
550.55	97.90	199.54
567.233	94.69	200.46
583.917	95.49	201.15
600.6	96.87	201.49
617.283	98.25	202.29
633.967	103.18	204.82
650.65	106.86	208.49
667.333	106.74	211.93
684.017	107.80	215.19
700.7	108.24	213.31
717.383	108.24	213.31
734.067	105.35	190.49
750.75	103.32	170.12
767.433	101.01	147.00
784.117	98.85	139.92
800.8	95.81	127.21
817.483	94.55	115.77
834.167	94.12	106.95
850.85	93.40	100.74
867.533	91.81	95.25
884.217	91.52	93.23
900.9	91.52	93.23
